id,title_ru,title_translit,town_uk,raion_or_area,holding,type,status,merged_into,notes,confidence,source
LH-020,Станично-Луганский вестник,Stanichno-Luganskiy vestnik,Stanytsia Luhanska,Stanytsia Luhanska,Luganmedia,Town weekly,Active,,,High,Detector Media 2025-03-10
LH-021,Старобельский вестник,Starobelskiy vestnik,Starobilsk,Starobilsk,Luganmedia,Town weekly,Active,,,High,Detector Media 2025-03-10
LH-022,Стахановское знамя,Stakhanovskoe znamya,Kadiivka,Stakhanov,Luganmedia,Town weekly,Active,,Stakhanov = Kadiivka; occupied since 2014,High,Detector Media 2025-03-10
LH-023,Троицкие вести,Troitskie vesti,Troitske,Troitske,Luganmedia,Town weekly,Active,,,High,Detector Media 2025-03-10
LH-024,Труд горняка,Trud gornyaka,Bryanka,Bryanka,Luganmedia,Town weekly,Active,,Miner's Labour - town confirmed Bryanka,High,Detector Media 2025-03-10; town confirmed JM 2026-07
LH-025,Наша трудовая слава,Nasha trudovaya slava,Lutuhyne,Lutuhyne - to confirm,Luganmedia,District weekly,Active,,Town/raion not yet confirmed,Medium,Detector Media 2025-03-10
LH-026,Лисичанский вестник,Lisichanskiy vestnik,Lysychansk,Lysychansk,Luganmedia,Town weekly,Suspended,Вестник Северодонецка,Suspended after loss of connectivity; coverage folded into Vestnik Severodonetska,High,Detector Media 2025-03-10
LH-027,Вестник Рубежного,Vestnik Rubezhnogo,Rubizhne,Rubizhne,Luganmedia,Town weekly,Suspended,Вестник Северодонецка,Launched July 2022; later suspended and merged,High,Detector Media 2025-03-10
LH-028,Кременской вестник,Kremenskoy vestnik,Kreminna,Kreminna,Luganmedia,Town weekly,Suspended,Вестник Северодонецка,Suspended and merged,High,Detector Media 2025-03-10
LH-029,Перевальские новости,Perevalskie novosti,Perevalsk,Perevalsk,Luganmedia,Town weekly,Stopped,,Publication stopped entirely,High,Detector Media 2025-03-10
LH-030,Попаснянский вестник,Popasnyanskiy vestnik,Popasna,Popasna,Luganmedia,Town weekly,Removed,,No longer listed in holding; editor Volodymyr Zaruba charged with collaboration,Medium,Detector Media 2025-03-10
LH-031,Полиция республики,Politsiya respubliki,,Region-wide,Luganmedia,Journal,Active,,Monthly journal of occupation MVD; limited public access,Medium,Detector Media 2025-03-10
LH-032,Наша Народная Трибуна,Nasha Narodnaya Tribuna,Perevalsk,Perevalsk,Luganmedia,Town weekly,Active,,Publishes at the Perevalsk outlet (site URL slug perevalskienovosti); LH-029 «Перевальские новости» at this outlet is listed as stopped. Recorded as a separate title (research decision 2026-07-19). Town inferred from site URL slug — to confirm.,Medium,"luganmedia.ru archive, collected 2026-07-19"
