ID,"Organisation, programme, camp or structure",Category,Type,Federal affiliation / subordination,Territory,Territory tags,Locality,Address,Founded / first recorded in the territory,Legal registration status,Source of funding,Activity,Estimated participants (with source),Evidence sources,Confidence,Confidence note,Notes / cross-tags
11,"Voin (""Warrior"") centre / Центр «Воин»",Youth movement or federal structure,State network of military-sports training centres,"Rospatriotcentr / Russian Union of Martial Arts (Kiriyenko, Trutnev); approved by Putin in September 2022","Kherson, Zaporizhzhia, Luhansk and Donetsk oblasts",Kherson oblast; Zaporizhzhia oblast; Luhansk oblast; Donetsk oblast,"Henichesk, Berdiansk, Luhansk, Donetsk, Mariupol",Not applicable (network of branches),Late 2022,"Autonomous non-profit organisation: Voin Centre for Special Training, Sports and Military-Patriotic Education",Federal budget (through Rospatriotcentr),"Preparation for service in the Russian armed forces, ages 14 to 18 (extended programme 19 to 35); coordinates with the Luhansk Cossack Cadet Corps","Not stated for the occupied territories as a whole; at least 70 students at the first camp (Henichesk). Summer sessions across Russia: 10,905 cadets in 2024 and 12,935 in 78 sessions in 2025. From the occupied territories: over 300 children from Donetsk, Luhansk, Zaporizhzhia and Kherson oblasts in a single 2024 session; 781 from the ""DNR"" and over 140 from the ""LNR"" in one 2025 session; at least 91 from Zaporizhzhia oblast and 123 from Luhansk oblast confirmed in two documented 2026 groups","https://crvsp.ru/center; https://lb.ua/blog/koalitsiia_ua5am/620037_voini_rosiyskogo_rezhimu_yak.html; https://war-sanctions.gur.gov.ua/kidnappers/companies/13074; https://1news.zp.ua/; Centre for the Study of Occupation study of the Voin summer network, Mariupol monitoring, August 2026",Confirmed,,"Director I. V. Kazarezov from February 2024; national umbrella structure for the networks in entries 25 to 30. The Avangard defence and sports camp in Volgograd oblast is the main hub for Voin summer sessions: about 2,200 to 2,600 adolescents in 2024, 3,400 in 2025, about 4,500 planned for 2026. Programmes combine drone operation, tactical medicine, engineering, communications, weapons training and security fundamentals."
12,"Centre for the Military-Patriotic Education of Students, Sevastopol / «Центр военно-патриотического воспитания учащейся молодежи»","Club, cadet corps or camp inside the territory",State centre for military-patriotic education,"Occupation ""government"" of Sevastopol",Sevastopol,Sevastopol,Sevastopol,"5 Ochakivtsiv Street, Sevastopol, 299011",1959 (as a centre for extracurricular work); 2010 (reorganised),State budgetary educational institution of supplementary education of the city of Sevastopol,Budget of the Sevastopol occupation administration,"Pre-conscription training schools; the games Rubezh, Zarnitsa and Zarnichka for different age groups",Not stated,https://investigator.org.ua/ua/investigations/265399/; https://war-sanctions.gur.gov.ua/kidnappers/companies/13673; https://tavrika.su/id29701,Confirmed,,Director I. O. Demydov since 2020; spreading its methods to Kherson and Zaporizhzhia oblasts (2023).
13,Bagira young marines club / ВПК юных морских пехотинцев «Багира»,"Club, cadet corps or camp inside the territory",Military-patriotic club,Linked to the Saturn centre (same village),Crimea,Crimea,"Kukushkyne village, Rozdolne district","1 Shkilna Street, Kukushkyne, 296236",2015,Based at a municipal general school and kindergarten,Not established,"Hand-to-hand combat, shooting with various weapons; participation in Yunarmiya events",Not stated,https://incident.obozrevatel.com/ukr/crime/; https://investigator.org.ua/ua/investigations/266111/; https://war-sanctions.gur.gov.ua/kidnappers/companies/13690,Confirmed,,"Head Ye. S. Motiakov also heads the Saturn centre (2020) for Crimean ""marine"" clubs."
14,Batalion Forpost club / ВПК «Батальон Форпост»,"Club, cadet corps or camp inside the territory",Military-patriotic club,Branch of the Russian Union of Veterans,Crimea,Crimea,Simferopol,Not established,2018,Not established (club structure attached to a veterans' organisation),Not established,"Weapons handling, tactical medicine, assembling Kalashnikov rifles; children used for rear-area work (camouflage nets, letters) and as extras in propaganda",Not stated,https://www.facebook.com/groups/1070369470195471/; https://investigator.org.ua/ua/investigations/266111/; https://investigator.org.ua/ua/publication/articles-krym/266303/,Confirmed,,"Head A. Nikishaieva, 23, member of United Russia and of the Crimean ""youth parliament""."
15,"Patriot club, Yevpatoria / ВПК «Патриот» (Євпаторія)","Club, cadet corps or camp inside the territory",Military-patriotic club,Not established,Crimea,Crimea,Yevpatoria,"9 Vilna Street, Yevpatoria, 297408",2016,Autonomous non-profit organisation: Patriot Military-Patriotic Club,Rosmolodyozh grant (for the Zaryad project),"""Young fighter's course"", forced marches of 15 to 18 km, tactical games, weapons handling; preparation for entry to military colleges, the Interior Ministry and the Emergencies Ministry",Not stated,https://investigator.org.ua/ua/investigations/266111/; https://war-sanctions.gur.gov.ua/kidnappers/companies/13676,Confirmed,,Head D. V. Pikiner; his son V. Pikiner organised the related Zaryad project (Rosmolodyozh grant).
16,"Pobeda army hand-to-hand combat club, Sevastopol / СВПК «Победа»","Club, cadet corps or camp inside the territory",Sports and military-patriotic club,Not established,Sevastopol,Sevastopol,Sevastopol,"38 Dynamo-1 gardening association, Sevastopol, 299043",2017,Sevastopol regional NGO: Pobeda Sports and Military-Patriotic Club of Army Hand-to-Hand Combat,"Russian Presidential Grants Fund (2023, about 0.5 million roubles)","Hand-to-hand combat from age 5, shooting, grenade throwing, disassembling the AK-74, medical training",Not stated,https://war-sanctions.gur.gov.ua/kidnappers/companies/13689; https://investigator.org.ua/ua/investigations/266111/,Confirmed,,Head I. V. Novikov; listed by the Myrotvorets database as a former Wagner Group fighter (not independently verified).
17,Avangard training and methodological centre / «Авангард»,Youth movement or federal structure,State network of methodological centres for military-patriotic education,Initiated by S. Shoigu (former Russian defence minister); network of more than 100 centres across Russia,"Crimea (Simferopol / Orikhove village, Kerch, Yevpatoria); Luhansk oblast",Crimea; Luhansk oblast,"Orikhove village (Simferopol district), Kerch, Yevpatoria","Office 1, Building 9, Patriot Park, Odintsovo, Moscow oblast, Russia, 143070 (head office)","October 2023 (first camp session in Crimea); April 2024 (agreement with the ""LNR"")",Autonomous non-profit organisation: Avangard Training and Methodological Centre for the Military-Patriotic Education of Youth,Russian federal budget,Five-day sessions for pupils in years 9 to 11; the Crimean Avangard operates in Kerch through the Sviatohor club and in Yevpatoria through Krympatriotcentr,First session 100 children (October 2023); at least 10 sessions planned for 2024,https://24tv.ua/avangard-voyin-tot-yak-rf-gotuye-ditey-do-viyni-osint-rozsliduvannya_n2998199; https://www.radiosvoboda.org/a/news-rosia-militaryzatsia-molodi-krym/32865216.html; https://war-sanctions.gur.gov.ua/kidnappers/companies/12013; https://militarnyi.com/,Confirmed,,"A plot of more than 10 hectares was taken from the former Gagarin camp for construction; UK sanctions (FCDO, 19 November 2024, together with Yunarmiya). The Avangard camp in Volgograd oblast, the network's main site for children from the occupied territories, took about 2,200 to 2,600 adolescents in 2024 and 3,400 in 2025, with about 4,500 planned for 2026; the first 2026 session had about 900 cadets and the final August 2026 session about 1,200 from 55 regions (Centre for the Study of Occupation, August 2026)."
18,DOSAAF of Russia / ДОСААФ России,Youth movement or federal structure,State paramilitary organisation (all-Russian),Russian Ministry of Defence; co-founder of Yunarmiya since 2016,All six occupied territories,Crimea; Sevastopol; Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,"Network of regional branches (Crimea, Sevastopol, occupied Donetsk and Luhansk, Zaporizhzhia, Kherson region)","Building 3, Block 3, 88 Volokolamske Highway, Moscow, 125424 (head office)","Activity extended to the occupied territories from 2014 and 2022; draft law on direct budget funding, August 2024",All-Russian public-state organisation DOSAAF of Russia,State budget (partly through the Russian defence and education ministries; direct funding planned),"Pre-conscription training, training of territorial-defence fighters; coordination of the network of military-patriotic clubs in the occupied territories",Not stated (all-Russian structure),https://war-sanctions.gur.gov.ua/kidnappers/companies/13989; https://almenda.org/rol-yaltinskogo-oseredku-dtsaaf-u-militarizacii-ditej-na-timchasovo-okupovanij-teritorii/; https://archive.ph/JFMm8; https://www.radiosvoboda.org/a/news-zelensky-sanktsii-artek/33439180.html,Confirmed,,"Ukrainian presidential sanctions against the Sevastopol branch (2025); federal structure, see entries 25 to 30."
19,"Rus club, Luhansk oblast / ВПК «Русь»","Club, cadet corps or camp inside the territory",Military-patriotic club,"Interregional youth public organisation Rus Military-Patriotic Club, VIYuR group; curator a reserve FSB colonel, O. V. Medvedev",Luhansk oblast,Luhansk oblast,Slovianoserbsk,"Flat 16, 64 Lenina Street, Slovianoserbsk, 293701",Not established,NGO: Rus Regional Youth Military-Patriotic Club,Not established,"Forming ""patriotic consciousness"", preparation for military service; annual trips to military field camps in Russia (hostage-rescue combat, knife throwing, weapons assembly)",Not stated,https://war-sanctions.gur.gov.ua/kidnappers/companies/13861,Likely,Dates and numbers need clarification,Curator is an FSB officer; close ties to Russian security structures.
20,"Spasaya Detstvo (""Saving Childhood"") charitable foundation / БФ «Спасая детство»",Camp or centre moving children out of their territory,Charitable foundation (mechanism of forced transfer),"Russian presidential administration; Russian Ministry of Sport; ""ministry of sport and tourism of the DNR""",Donetsk oblast (origin of the children); transfer to Russia,Donetsk oblast,Not applicable,"Premises 213, Floor 6, Building 9, Greenwood, Putilkovo, Krasnogorsk, Moscow oblast, Russia, 143440","""Children Are Our Future"" project, August 2023",Charitable foundation Spasaya Detstvo,Not established,"Organising the ""evacuation"" and ""recuperation"" of children under the guise of humanitarian aid; forced transfer of 400 children to Adygea, Kalmykia, Krasnodar krai, Astrakhan, Vologda and Rostov oblasts, Crimea and Sevastopol",400 children (August 2023),https://war-sanctions.gur.gov.ua/kidnappers/companies/13036; https://zmina.info/news/ministerstvo-transportu-rf-spryyaye-vyvezennyu-400-ukrayinskyh-ditej-z-donechchyny-na-terytoriyu-rosiyi-ta-krymu-dzherela-zmina1/,Confirmed,,Cross-tag: Accountability and Legal (forced deportation; the child leaves the territory).
21,Volunteers of Victory all-Russian movement / «Волонтеры Победы»,Youth movement or federal structure,State-public movement,Rosmolodyozh; joint projects with the Russian Ministry of Science and Russian Railways,Zaporizhzhia oblast; Crimea,Zaporizhzhia oblast; Crimea,"Zaporizhzhia oblast (regional branch); Crimea (""Victory Train"" project)",Not applicable,"2024 (""Victory Train"" in Crimea)",All-Russian public movement Volunteers of Victory,Federal budget; joint projects with state corporations,"School for training volunteer propagandists; a travelling museum train for children designed to create an ""emotional connection with the war""",Not stated,https://almenda.org/finansuvannya-molodizhnoi-politiki-v-rosii/; https://war-sanctions.gur.gov.ua/kidnappers/companies/12014; https://www.gov.uk/government/news/uk-sanctions-actors-forcibly-deporting-indoctrinating-and-militarising-ukrainian-children; https://qirim.news/,Confirmed,,"UK sanctions, 3 September 2025 (together with the Movement of the First)."
22,"Union of Border Guards of Crimea, Simferopol / «Союз пограничников Крыма»","Club, cadet corps or camp inside the territory",Public organisation (paramilitary),Not established; recipient of presidential grants (12 grants since 2019),Crimea,Crimea,Simferopol,Not established,October 2014 (registered),Public organisation (Russian register),Russian Presidential Grants Fund,"Weapons lessons, basic military training, initiation of first-year pupils as ""young friends of the border guard""; construction of the Defender of the Fatherland centre (range, climbing wall, shooting gallery)",Not stated,https://crimea-radio.ru/soyuz-pogranichnikov-krima-aktivno-zan/; https://ru.krymr.com/a/news-krym-ukraina-podozreniye-militarizatsiya-krymskikh-detey/33745237.html; https://investigator.org.ua/ua/news-2/novosti-krym/275066/,Confirmed,,Head O. H. Diachenko (a Ukrainian citizen) served with a notice of suspicion (April 2025); the same Diachenko heads Varyag (entry 2).
23,"Military-Patriotic Youth of Good Will, Alupka / «Военно-патриотическая молодёжь доброй воли»","Club, cadet corps or camp inside the territory",Organisation (formally registered under parks of culture and recreation),Not established,Crimea,Crimea,Alupka,Not established,2016,Public organisation (Russian register),"Grants (2019, 2021: 3.4 million roubles for the LUCH project)",Camp-based preparation of children and adolescents aged 10 to 18 for service in the Russian army,Not stated,https://investigator.org.ua/ua/investigations/266966/; https://life.pravda.com.ua/columns/2020/09/21/242391/,Likely,,Head M. M. Boichuk (until May 2024) also heads the Yalta headquarters of Yunarmiya.
24,Young Sevastopolites / «Юные севастопольцы»,Youth movement or federal structure,Patriotic movement (no legal-entity status),Extension of Yunarmiya's age range downwards,Sevastopol,Sevastopol,Sevastopol,Not applicable,March 2024 (first data on mass participation),Not a separate legal entity,Not established,"""Initiation"" of pre-school children (a ""patriots' oath"", tying of blue neckerchiefs) with the participation of Yunarmiya members, servicemen of the 810th Marine Brigade and veterans of Boevoe Bratstvo","4,000 pre-school children (March 2024)",https://investigator.org.ua/ua/investigations/266966/; https://crimea-news.com/society/2024/03/15/1324489.html,Confirmed,,In practice an extension of Yunarmiya to pre-school age; the youngest cohort documented in the dataset.
25,"Yunarmiya (""Youth Army"") / «Юнармия»",Youth movement or federal structure,State youth movement (all-Russian),Russian Ministry of Defence; co-founder DOSAAF (since 2016),All six occupied territories,Crimea; Sevastopol; Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,"Network of branches (Crimea, Sevastopol, occupied Donetsk and Luhansk, Zaporizhzhia, Kherson region)",Not applicable,"Late 2015 to early 2016 (Putin decree No. 536 of 29 October 2015); Donbas, spring 2019; the other occupied territories, November 2022",All-Russian movement subordinate to the Russian Ministry of Defence,"State budget: 2024, 270 million roubles directly to Yunarmiya (out of 46 billion roubles for ""patriotic education"" overall); 2025, about 800 million roubles planned plus 200 million from the Ministry of Defence","Assembling and disassembling Kalashnikov rifles, shooting, drill and tactical training; coordinates clubs (Amazonki, Vityaz), channels members into cadet classes, military colleges and the Voin centre","At least 50,000 in the occupied territories (2024 to 2025): LNR 102 detachments in 24 municipalities, over 6,000 members; DNR over 5,000; Crimea 15,000 (from 1,500 in 2017); Russia-wide about 1.8 million","https://yunarmy.ru/; https://investigator.org.ua/ua/investigations/266966/; Barbieri, Ethnopolitics 23(5), 2024, pp. 515 to 536; Hird et al., ISW, 2024",Confirmed,,"US sanctions (OFAC, 3 July 2024) and UK sanctions (FCDO, 19 November 2024); head V. Golovin (""Struna"") from December 2024, Hero of Russia; on 11 May 2025 Pushilin ordered 100% enrolment of Mariupol schoolchildren."
26,Movement of the First / «Движение первых»,Youth movement or federal structure,State-public movement of children and youth (all-Russian),Absorbed the Russian Schoolchildren's Movement and Bolshaya Peremena; Orlyata Rossii is its primary-school arm,All six occupied territories,Crimea; Sevastopol; Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,"Mariupol (40 branches in 27 institutions), Zaporizhzhia oblast (190 branches), LNR (about 3,500 detachments)",Not applicable,2022 (created); December 2022 (first branches in the occupied territories),All-Russian public-state movement of children and youth,Russian state budget,"Zarnitsa games, meetings with participants in the war, ""patronage"" of soldiers' families; use of the Z and V symbols and the St George ribbon","Mariupol 1,500 children; Zaporizhzhia oblast 19,000 children; LNR over 70,000 events per school year","https://www.gov.uk/government/news/uk-sanctions-actors-forcibly-deporting-indoctrinating-and-militarising-ukrainian-children; Hird et al., ISW, 2024; McGlynn et al., Capturing the Minds, 2026",Confirmed,,"UK sanctions, 3 September 2025, together with Volunteers of Victory."
27,Young Guard of United Russia (MGER) / Молодая Гвардия Единой России,Youth movement or federal structure,Youth wing of the ruling party,United Russia party; ideological curator State Duma deputy and GRU officer D. Sablin,Donetsk oblast; branches across the occupied territories,Donetsk oblast; Crimea; Sevastopol; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,Mariupol (from 27 October 2022),Not applicable,27 October 2022 (Mariupol branch),Youth public organisation,Party and state funding,"""Patriotic education"", volunteering for the Russian army, mounting ""Hero's Stars"" on the homes of killed occupation soldiers (with Molodaya Respublika); a volunteer company with Boevoe Bratstvo",Not stated,"Centre for the Study of Occupation monitoring, Mariupol, June 2025 to 2026 (held in the TOT Insights private repository)",Likely,Source is internal monitoring,"Head M. Averkin, convicted in absentia in Ukraine."
28,Rospatriotcentr and the Russian Union of Martial Arts / Роспатриотцентр,Youth movement or federal structure,Federal state structure,Co-chairs S. Kiriyenko (first deputy head of the Russian presidential administration) and Yu. Trutnev (deputy prime minister); project approved by Putin in September 2022,"Kherson, Zaporizhzhia, Luhansk and Donetsk oblasts (through the Voin network)",Kherson oblast; Zaporizhzhia oblast; Luhansk oblast; Donetsk oblast,Not applicable,Not applicable,September 2022,Federal state structure,State budget,Initiating and rolling out the network of Voin centres across the four occupied oblasts,Not stated,"Shevchenko, Luhansk Information Centre, 14 February 2024; Jamestown Foundation, July 2026",Likely,,Formal federal curator of the Voin centres (entry 11).
29,Russian Military-Historical Society (RVIO) / Российское военно-историческое общество,Youth movement or federal structure,State historical-ideological organisation,"Founder and chair V. Medinsky, aide to Putin","Donetsk, Luhansk and Zaporizhzhia oblasts",Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast,Not applicable,Not applicable,Not established,State organisation,State budget,"Drone-piloting and weapons-handling programmes for children, ""military-historical"" lessons and camps, fundraising for drones and weapons, publication of textbooks denying Ukrainian statehood (""History of Donbas and Novorossiya"")",Not stated,"Radio Svoboda / Schemes, 2025; Centre for the Study of Occupation monitoring, Donetsk oblast, July to August 2025",Likely,,"Builds memorials to ""defenders of Donbas"" and ""Alleys of Heroes""."
30,Rosmolodyozh (Federal Agency for Youth Affairs) / Росмолодёжь,Youth movement or federal structure,Federal agency for youth affairs,Federal executive body of the Russian Federation,All six occupied territories (grant funding),Crimea; Sevastopol; Donetsk oblast; Luhansk oblast; Zaporizhzhia oblast; Kherson oblast,For example Donetsk (the 30/09 complex),Not applicable,Not established,Federal agency,Russian federal budget (Rosmolodyozh.Grants programme),"Funding of youth centres, karting clubs and co-working spaces at universities; ""volunteer"" and ""patriotic"" projects",Not stated,https://almenda.org/finansuvannya-molodizhnoi-politiki-v-rosii/,Confirmed,,Involved in launching the Yug Molodoy movement (entry 8).
31,"Patriot youth centre, Kherson oblast / АНО «Молодежный центр «Патриот»»","Club, cadet corps or camp inside the territory",Youth centre (not to be confused with the Patriot club in Yevpatoria),Cooperates with Yunarmiya and Rosgvardia,Kherson oblast,Kherson oblast,Henichesk; Khlibodarivka village (Chaplynka district),Not established,Documented from August 2025,Autonomous non-profit organisation,Not established,"Military-sports camps and paramilitary relay races for schoolchildren: drill, assembling and disassembling the AK-74M, loading magazines, air-rifle shooting, first aid; Rosgvardia officers act as ""judge-instructors""",Not stated,"Centre for the Study of Occupation monitoring, Henichesk, 6 August 2025, and Khlibodarivka, 19 September 2025",Likely,Source is internal monitoring,"""Holidays with Rosgvardia"" relay race (6 August 2025)."
32,Karachun youth Cossack detachment / Молодежный казачий отряд «Карачун»,"Club, cadet corps or camp inside the territory",Youth Cossack paramilitary detachment,Not established,Donetsk and Luhansk oblasts,Donetsk oblast; Luhansk oblast,Not established,Not established,Summer 2025,Not established,Not established,"Lectures on ""extremism and terrorism"", sabre master classes, ""Cossack mentoring""; a women's project, Berehyni; target age group described as ""between Yunarmiya and Voin""",Not stated,"Centre for the Study of Occupation monitoring, Donetsk oblast, November 2025, and Mariupol, December 2025",Likely,Source is internal monitoring,Ataman: Bohdan Solodchenko.
33,"Redut military-patriotic centre, Luhansk / «Редут»","Club, cadet corps or camp inside the territory",Military-patriotic centre (at a university),Luhansk Taras Shevchenko Pedagogical University,Luhansk oblast,Luhansk oblast,Luhansk,Not applicable,Autumn 2025,Not established,Not established,"Weapons training (mock-ups, VR simulators, laser tag) for students and schoolchildren; linked to the Zachyot forum",Not stated,"Centre for the Study of Occupation monitoring, Luhansk oblast, November 2025",Likely,Source is internal monitoring,"Named after a killed fighter, B. Belhrai."
34,"Molodaya Respublika (""Young Republic""), DNR / Молодая Республика",Youth movement or federal structure,Pro-Russian youth movement,Works with the Young Guard of United Russia,Donetsk oblast,Donetsk oblast,Zhdanivka and other towns,Not applicable,Not established,Not established,Not established,"Mounting ""Hero's Stars"" and memorial stars on the homes of killed participants in the war; involving schoolchildren and students alongside branches of the Movement of the First and Yunarmiya",Not stated,"Centre for the Study of Occupation monitoring, Donetsk oblast, October 2025 and January 2026",Likely,Source is internal monitoring,Acts jointly with the Boevoe Bratstvo volunteer company (entry 39).
