"Official_ID","Name","Name_Cyrillic","Territory","Role","Level","Location","Year_Start","Year_End","Status","Origin"
"OFC-022","Mikhail Razvozhayev","Михаил Владимирович Развожаев","Crimea","governor of Sevastopol","City","Sevastopol","2020","","Yes","Krasnoyarsk, Russia"
"OFC-023","Vladimir Konstantinov","Владимир Андреевич Константинов","Crimea","state council chair","Regional","Crimea","2014","","Yes","Constantinovca, Moldova"
"OFC-025","Vladimir Saldo","Владимир Сальдо","Kherson Oblast","head of Kherson Oblast occupation administration","Regional","Kherson Oblast","2022","","Yes","Mykolaiv Oblast, Ukraine"
"OFC-026","Bishop Bronnitsky Luka","Епи́скоп Лука́, Андрей Евгеньевич Волчков","Zaporizhzhia Oblast","head of the Berdyansk Diocese","Sector","Berdyansk","2023","2024","No","Moscow region, Russia"
"OFC-027","Konstantin Stotskiy","Константин Стоцкий","LNR","директор предприятия","City","Лисичанск","2023","2025","No",""
"OFC-028","Oleg Koval","Олег Коваль","LNR","заместитель Председателя Народного Совета","Regional","Luhansk","2018","","Yes","Luhansk region"
"OFC-031","Darya Chelapko","Дарья Челапко","LNR","Начальник Лисичанского отделения МФЦ ЛНР","City","Лисичанск","2023","","Yes","Жительница Лисичанска"
"OFC-032","Oleg Teslyuchenko","Олег Теслюченко","LNR","первый заместитель директора МФЦ ЛНР","Regional","Luhansk","","","Yes",""
"OFC-033","Mikhail Golubovich","Михаил Голубович","LNR","Minister of Youth Policy LPR","Regional","Luhansk","2025","","Yes","Luhansk region"
"OFC-034","Eduard Sakhnenko","Эдуард Сахненко","LNR","и. о. главы Администрации Лисичанска","City","Лисичанск","2023","","Yes","Luhansk region"
"OFC-035","Yulia Velichko","Юлия Величко","LNR","министр молодежной политики Луганской Народной Республики","Regional","Luhansk","2023","2025","No","Luhansk region"
"OFC-036","Zatyshny","","Zaporizhzhia Oblast","outsider leader who now manages the region","Regional","Zaporizhzhia","","","Unknown","sent from the DPR"
"OFC-037","Evgeny Varakin","Евгений Варакин","LNR","Вице-премьер Республики Татарстан, курирующий восстановление Лисичанска и Рубежного в ЛНР","Regional","Лисичанск, Рубежное","2022","2024","No","From Russia (Tatarstan Republic)"
"OFC-038","Alexey Samoylov","Алексей Самойлов","LNR","Руководитель Администрации Главы ЛНР","Regional","Luhansk","2022","","Yes","Luhansk region"
"OFC-042","Emirali Albayev","Эмирали Аблаев","Crimea","Mufti of the Republic of Crimea and Sevastopol","Sector","Crimea","1999","","Yes","Crimean Tatar, born in Tashkent Region, Uzbekistan"
"OFC-043","E.A. Solntsev","Е.А. Солнцев","DPR","Председатель Правительства","Regional","Donetsk","2023","2025","No","From Russia / Russian federal appointee"
"OFC-045","E. A. Shapurova","Е. А. Шапурова","Zaporizhzhia Oblast","Министр образования и науки Запорожской области","Regional","Мелитополь","2022","","Unknown","Born in Melitopol, father from Russia."
"OFC-047","Vladimir Rogov","Владимир Рогов","Zaporizhzhia Oblast","Propagandist / occupation official","Regional","Zaporizhzhia","2022","","Yes","Born in Zaporizhzhia, Ukraine"
"OFC-048","Serhii Zolotariov","Сергей Золотарев","Zaporizhzhia Oblast","City head","City","Melitopol","2025","","Yes","Born in Melitopol"
"OFC-049","Halyna Katiushchenko","Галина Катющенко","Zaporizhzhia Oblast","Chair of regional election commission","Regional","Zaporizhzhia","2022","","Yes","From Vitebsk, Belarus"
"OFC-050","Olena Sivenkova","Елена Сивенкова","Zaporizhzhia Oblast","Election commission member","Regional","Zaporizhzhia","2023","","Yes","From Melitopol"
"OFC-051","Kirill Stremousov","Кирилл Сергеевич Стремоусов","Zaporizhzhia Oblast","Collaborator","Unknown","","2022","2022","No","Born in Donetsk region"
"OFC-052","Yaroslav Stremousov","Ярослав Стремоусов","Zaporizhzhia Oblast","Occupation figure involved in information space","Unknown","","2025 (At least)","","Yes","Kherson"
"OFC-053","Pikalov","Валерий Иванович Пикалёв","Zaporizhzhia Oblast","Head of the Federal Customs Service of the Russian Federation","Regional","Berdyansk","2024","","Yes","Russia"
"OFC-054","Balitskyi","Евгений Витальевич Балицкий","Zaporizhzhia Oblast","глава окупаційної адміністрації (implied)","Regional","Zaporizhzhia","2023","","Yes","Melitopol"
"OFC-055","Rogov","Рогов","Zaporizhzhia Oblast","окупаційний чиновник (implied regional influence)","Regional","Zaporizhzhia","2022","","Yes","Born in Zaporizhzhia, Ukraine"
"OFC-056","Kharmy̆shev","Хармишев","DPR","очільник партії «Єдина Росія» (колишній), де-факто керував містом у перші роки окупації","City","Маріуполь","2022","2025","No","Local DPR political figure"
"OFC-059","Kiriyenko Sergiy","Кірієнко Сергій","Multiple","кремлівський куратор","Regional","","2022","","Yes","From Russia (Kremlin)"
"OFC-060","Khusnullin Marat","Хуснуллін Марат","Multiple","куратор з питань будівництва та інфраструктури","Regional","","2022","","Yes","From Russia (Russian federal government)"
"OFC-061","Lvova-Belova Mariya","Львова-Білова Марія","Multiple","реалізація спеціалізованої політики мобільності та туризму молоді","Regional","","2021","","Yes","From Russia (Russian federal government)"
"OFC-062","Sablin","Саблін","Multiple","","Unknown","","","","Unknown","From Russia (Russian military intelligence)"
"OFC-064","Rodion Miroshnik","Родион Мирошник","LNR","Special envoy of Russia / LPR collaborator","Regional","Severodonetsk","2023","","Yes","Luhansk region"
"OFC-065","Andriy Marochko","Андрей Витальевич Марочко","LNR","Military expert (collaborator)","Unknown","Luhansk","2014","","Yes","Donetsk region"
"OFC-066","Svetlana Petrenko","Светла́на Льво́вна Петре́нко","LNR","Representative of Russian Investigative Committee","Unknown","Luhansk","2016","","Yes","Tver Oblast, Russia"
"OFC-067","Dmitry Shlopak","Дмитрий Шлопак","LNR","Head of Russian initiative establishing 'spiritual-historical complex' in Ushakov's honour","Unknown","Lysychansk","","","Unknown","Born in  Chisinau, Moldova. Lives in Russia."
"OFC-068","Yuriy Chernichuk","Черничук Юрий","Zaporizhzhia Oblast","Rosatom's ZNPP director","Sector","Enerhodar","2022","","No","From Russia (Rosatom)"
"OFC-071","Alexander Nikolayevich Kostomarov","","Zaporizhzhia Oblast","Director of OOO DEKARGOLOGISTIK","Sector","Berdiansk","2025","","Yes","Russian citizen linked to St. Petersburg"
"OFC-072","Andrey Anatolyevich Vasiltsov","Васильцов Андрей Анатольевич","Zaporizhzhia Oblast","Director and owner of OOO Partner Union","Sector","Berdiansk","2025","","Yes",""
"OFC-073","Vladislav Golovin","Владислав Николаевич Головин","Zaporizhzhia Oblast","Chief of the Yunarmiya General Staff","Sector","Melitopol","2024","","Yes","From Kirov, Russia"
"OFC-074","Anton Koltsov","Антон Кольцов","DPR","керівник адміністрації Маріуполя","City","Маріуполь","2025","","Yes","Cherepovets, Russia"
"OFC-075","Yuliia Smyrnova","Юлія Миколаївна Смирнова","DPR","Перший заступник керівника управи Орджонікідзевського внутрішньоміського району м. Маріуполь; Секретар місцевого відділення партії «Єдина Росія» у Маріуполі","District","Маріуполь, Орджонікідзевський район","2025 (At least)","","Yes","Ukrainian, likely from Mariupol"
"OFC-076","Yurii Senin","Сенін Юрій Анатолійович","DPR","голова Маріупольської ради (окупаційної)","City","Маріуполь","2025","","Yes","м. Донецьк, Донецької області"
"OFC-077","Roman Trofymov","Трофимов Роман Васильович","DPR","Секретар ради; заступник голови Маріупольського міського совета","City","Маріуполь","2026","","Yes",""
"OFC-080","Tatyana Kuzmich","Татьяна Кузьмич","Kherson Oblast","Deputy Governor","Regional","Henichesk","2022","","Yes","Kherson"
"OFC-081","Vladislav Yarchenko","Владислав Ярченко","Kherson Oblast","Acting Minister of Youth Policy of the Kherson region","Sector","Henichesk","2025","","Yes","Krasnodar Krai"
"OFC-082","Artem Lagoysky","Артем Лагойский","Kherson Oblast","Occupation minister of culture of the Kherson region","Sector","Kherson","2024","","Yes","Kherson"
"OFC-083","Marina Zakharova","Марина Захарова","Kherson Oblast","Head of the election commission of the Kherson region","Regional","Kherson","2023","","Yes",""
"OFC-084","Alla Barkhatnova","Алла Бархатнова","Kherson Oblast","Minister of Labor and Social Protection of the Kherson region","Sector","Henichesk","2023","2025","No","Oryol Oblast, Russia"
"OFC-085","Alexander Khlyustov","Александр Хлюстов","Kherson Oblast","Deputy of the Kherson Regional Duma","Regional","Kherson Oblast","2023 (At least)","","Yes","Volgograd"
"OFC-086","Semen Mashkaucan","Семён Машкауцан","Kherson Oblast","Acting head of the Kherson region government","Regional","Henichesk","2025","","Yes","Born in Chelyabinsk educated in Moscow"
"OFC-087","Sergei Cherevko","Черевко Сергей Николаевич","Kherson Oblast","Deputy head of government","Regional","Henichesk","2022","","Yes","Kherson"
"OFC-088","Igor Noskov","НОСКОВ ИГОРЬ ИВАНОВИЧ","Kherson Oblast","General director of Obvodokanal","Sector","Kherson Oblast","2024","","Yes",""
"OFC-089","Filaret","Гаврин Дмитрий Викторович","Kherson Oblast","Bishop of Skadovsk and Alyoshki","Sector","Skadovsk, Alyoshki","2024","","Yes","Tver Oblast, Russia"
"OFC-090","Kirill Makarov","Кирилл Макаров","DPR","Deputy Chairman of the Government of the DPR.","Sector","Donetsk","2025","","Yes","Donetsk region"
"OFC-091","Vladimir Dubovka","Владимир Дубовка","DPR","""Minister of Construction""","Sector","Donetsk","2024","","Yes","Born in Odesa"
"OFC-092","Andrey Purgin","Андрей Евгеньевич Пургин","DPR","Former ""DPR"" leader/founder","Regional","Donetsk","2014","2015","No","Local DPR founding figure"
"OFC-093","Alexander Zakharchenko","Александр Владимирович Захарченко","DPR","Former DPR leader","Regional","Donetsk","2014","2018","No","Local DPR founding figure"
"OFC-094","Dmitry Vatagin","Дмитрий Ватагин","DPR","Former Zabaykalsky construction minister (involved in Donbas reconstruction)","Sector","Donetsk","2021","2022","No","From Russia (Zabaykalsky region)"
"OFC-095","Leonard Svidovskov","Леона́рд Вячесла́вович Свидовсков","LNR","head of the LNR state media network","Sector","Luhansk","2018","","Yes","Luhansk region"
"OFC-096","Manolis Pilavov","Манолис Васильевич Пилавов","LNR","Former 'mayor' of Luhansk / head of the occupation administration in Luhansk","City","Luhansk","2014","2023","No","Local collaborationist elite"
"OFC-097","Olena Andreyeva","Елена Андреева","LNR","head of the 'LNR's Department of Investment Policy'","Regional","Luhansk","2024 (at least)","","Yes",""
"OFC-098","Anna Roslyakova","Анна Рослякова","LNR","First Deputy Head of the 'Administration of the Head of the LNR'","Regional","Luhansk","2025","","Yes","Russian national, formerly a bureaucrat in the Ryazan region"
"OFC-099","Filip Drobinyak","Филипп Дробиняк","LNR","head of the 'My Business' programme","Sector","Luhansk","2023","","Yes","Luhansk region"
"OFC-100","Mykola Ovsiyenko","Николай Павлович Овсиенко","LNR","Deputy Chairman of the Russian Military-Historical Society (RVIO)","Regional","","2022 (at least)","","Yes","From Russia (Russian Military-Historical Society), Born in Cherkasy Oblast"
"OFC-101","Alexander Malkevich","Алекса́ндр Алекса́ндрович Мальке́вич","Zaporizhzhia Oblast","Public curator of Russia's information policy in temporarily occupied territories, ideological curator synchronizing regional agenda with federal theses","Regional","","2022","","Yes","From St Petersburg, Russia"
"OFC-102","Yershov Sergey Yuryevich","Ершов Сергей Юрьевич","Zaporizhzhia Oblast","Head (warden) of FKU IK-1 UFSIN of Russia for Zaporizhzhia region","Sector","Melitopol","2025","","Yes","From Russia (Federal Penitentiary Service UFSIN)"
"OFC-103","Lepeshkin Yuliy Aleksandrovich","Лепешкин Юлий Александрович","Zaporizhzhia Oblast","Head (warden) of FKU IK-2 UFSIN of Russia for Zaporizhzhia region","Sector","Berdiansk","2023","","Yes","From Russia (Federal Penitentiary Service UFSIN)"
"OFC-104","Khozhaev Konstantin Vladimirovich","Хожаев Константин Владимирович","Zaporizhzhia Oblast","Acting Head of FKU KP-3 UFSIN of Russia for Zaporizhzhia region","Sector","Ozerne, Vesele district","2025","","Yes","From Russia (Federal Penitentiary Service UFSIN)"
"OFC-105","Ramil Galeev","Рамиль Галиев","Zaporizhzhia Oblast","Head of the created 'operating organization' for the ZNPP","Sector","Zaporizhzhia NPP","2024","","Yes","From Russia (Rosatom)"
"OFC-106","Dmytro Voron","Дмитрий Николаевич Ворона","Zaporizhzhia Oblast","Senator from Zaporizhzhia region","Regional","","2022","","Yes","Donetsk region"
"OFC-107","Oleksandr Zinchenko","Александр Зинченко","Zaporizhzhia Oblast","Former deputy governor","Regional","Melitopol","","2025","No","Melitopol"
"OFC-108","Andriy Svistunov","Свистунов Андрей Владимирович","Zaporizhzhia Oblast","New rector of occupation 'MelDU' (Melitopol State University)","Sector","Melitopol","2026","","Yes","Taganrog, Russia"
"OFC-109","Toivonen","Николай Тойвонен","Zaporizhzhia Oblast","Previous head of occupation 'MelDU' (Melitopol State University)","Sector","Melitopol","","2026","No","Ivanovo Oblast"
"OFC-113","Ivan Shumakov","Іван Шумаков","Kherson Oblast","заступник голови Херсонської обласної думи","Regional","Henichesk","2025","","Yes","Educated in St Petersburg"
"OFC-114","Liudmyla Kovtun","Людмила Ковтун","Kherson Oblast","міністр освіти і науки Херсонської області","Sector","Henichesk","2023","2025","No","Henichesk, Kherson Oblast."
"OFC-115","Oleksii Hryhoriev","Олексій Григор'єв","Kherson Oblast","виконуючий обов'язки міністра освіти і науки Херсонської області","Sector","Henichesk","2025","","Yes","З Росії (Псковська область)"
"OFC-116","Tetiana Tomilina","Тетяна Томіліна","Kherson Oblast","голова Херсонської обласної думи","Regional","Henichesk","2023","","Yes","Kherson"
"OFC-117","Oleksii Hryshyn","Олексій Гришин","Kherson Oblast","депутат Херсонської обласної думи","Regional","Іванівський муніципальний округ","2023","","Yes","Ulyanovsk, Russia"
"OFC-118","Nadiia Babeshko","Надія Бабешко","Kherson Oblast","секретар місцевого відділення партії «Єдина Росія»","District","Іванівський муніципальний округ","2023","","Yes","Melitopol"
"OFC-119","Serhii Kozupytsia","Сергій Козупиця","Kherson Oblast","міністр будівництва, архітектури та житлово-комунального господарства Херсонської області","Sector","Henichesk","2024","","Yes","Born in Republic of Tatarstan, Russia"
"OFC-120","Ihor Kastiukevych","Ігор Кастюкевич","Kherson Oblast","сенатор Федеральних Зборів РФ від Херсонської області","Regional","Henichesk","2023","","Yes","Born in Saratov"
"OFC-123","Aleksei Kulemzin","Алексей Валерьевич Кулемзин","DPR","head of administration","City","Donetsk","2016","","Yes","Transferred from LNR (former mayor of Luhansk)"
"OFC-124","Viktor Puduk","Виктор Пудак Викторович","DPR","head of the regional Yunarmiya headquarters","Regional","Donetsk Oblast","2023","","Yes","Donetsk region"
"OFC-125","Denis Epifanov","Епифанов Денис Николаевич","DPR","Minister of Coal and Energy of the DPR","Regional","Donetsk","2023","","Yes","Born in Crimea"
"OFC-126","Dmitry Chernyshev","Чернышев Дмитрий","DPR","representative of the so-called ""Public Chamber of the DPR""","Regional","Donetsk","2021","","Yes",""
"OFC-127","Aleksandr Voloshin","Александр Викторович Волошин","DPR","DPR senator","Regional","Donetsk","2023","","Yes","Born in Minsk, Belarus"
"OFC-128","Tatyana Bondarenko","Татьяна Бондаренко","DPR","Deputy of the ""People's Council of the DPR"", member of committee for reconstruction, construction and infrastructure development","Regional","","2023","2025","No","Native of Kursk"
"OFC-129","Anna Kondrykinskaya","Кондрыкинская Анна Викторовна","DPR","Deputy of the People's Council, head of the Housing and Utilities Committee","Regional","Donetsk","2023","","Yes","Donetsk region"
"OFC-130","Yulia Skubayeva","Юлия Скубаева","DPR","Former head of the Donetsk Republic organisation","Regional","Donetsk","","","No","Local DPR figure"
"OFC-131","Andrei Kalyuzhny","Андрей Калюжный","DPR","Former head of the Donbas Development Corporation","Regional","Donetsk","2023","2025","No",""
"OFC-133","Aleksandr Krierenko","Криеренко Александр Валерьевич","LNR","deputy of the so-called 'people's council'","Regional","Luhansk","2023","","Yes","Originally from Luhansk, lived in Moscow."
"OFC-134","Olha Bas","Ольга Бас","LNR","collaborator (official receiving reports on language violations), Senator of the Russian Federation","Regional","Luhansk","2022","","Yes","Nolinsk, Kirov Oblast, Russia"
"OFC-135","Marianna Sumska","Марианна Сумская","LNR","head of the 'LPR election commission'","Regional","Luhansk","2025","","Unknown","Born in Luhansk oblast, finished university in Kharkiv"
"OFC-136","Dmitry Kozak","Дмитрий Николаевич Козак","Multiple","deputy head of the Russian presidential administration","Regional","","2022","2025","No","Born in the Ukrainian SSR, lived most of the life in Russia."
"OFC-137","Andrey Chertkov","Андрей Геннадьевич Чертков","DPR","Chairman of the DPR Government","Regional","Donetsk","2025","","Yes","Originally from Nizhny Novgorod Oblast"
"OFC-138","Oleg Trofimov","Олег Трофимов","DPR","acting Minister of Education and Science of the DPR","Sector","Donetsk","2024","","Yes","Tyumen, Russia"
"OFC-139","Boris Litvinov","Борис Алексеевич Литвинов","DPR","First Secretary of the Donetsk regional branch of the CPRF","Regional","Donetsk","2022","","Yes","Toretsk, Donetsk Oblast"
"OFC-140","Sergei Zakharchenko","Сергей Захарченко","DPR","Member of the Central Committee of the Communist Party of the Russian Federation (CPRF)","Regional","","2023","","Yes","Local (Donbas-born)"
"OFC-141","Valeriy Sherin","Шерин Валерий Витальевич","DPR","Head of ""Soyuzmetallservice""","Sector","Donetsk","2023","","Yes","Kemerovo, Russia"
"OFC-142","Vasyl Romanov","Василь Романов","Kherson Oblast","керівник регіонального підрозділу Росреєстру","Regional","Henichesk","2024","","Yes","From Russia (Russian federal service)"
"OFC-143","Serhii Olihorskyi","Сергій Олігорський","Kherson Oblast","керівник Херсонського відділення ДТСАФ","Regional","Henichesk","2024 (at least)","","Yes","From Kherson"
"OFC-144","Iryna Kravchenko","Ірина Кравченко","Kherson Oblast","уповноважена з прав дитини в Херсонській області","Regional","Henichesk","2024","","Yes",""
"OFC-145","Olha Baranovska","Ольга Барановська","Kherson Oblast","глава Великолепетиського муніципального округу","District","Велика Лепетиха","2023","","Yes","From Kherson"
"OFC-146","Mykhailo Shpir","Михайло Шпір","Kherson Oblast","заступник окупаційного міністра цифрового розвитку та масових комунікацій Херсонської області","Regional","Henichesk","2022","","Yes","Born in Chernivtsi, Ukraine"
"OFC-147","Oleh Lopatko","Олег Лопатко","Kherson Oblast","начальник управління рослинництва, механізації та меліорації окупаційного Міністерства аграрної політики Херсонської області","Sector","Henichesk","","","Yes",""
"OFC-148","Yuliia Semiakina","Юлія Семякіна","Kherson Oblast","глава Генічеського муніципального округу","District","Генічеськ","2024","","Yes","From Kherson"
"OFC-149","Mykhailo Panchenko","Михайло Панченко","Kherson Oblast","директор окупаційного Фонду розвитку промисловості Херсонської області","Regional","Henichesk","2023","","Yes","From Kherson"
"OFC-150","Pavlo Filipchuk","Павло Філіпчук","Kherson Oblast","глава Каховського муніципального округу","District","Каховка","2022","","Yes","From Kherson"
"OFC-151","Nataliia Klochkova","Наталія Клочкова","DPR","начальниця управління архітектури","City","Маріуполь","2022","","Yes","From Russia (Union of Architects of Russia). Born in Mariupol."
"OFC-154","Valery Skorokhodov","Скороходов Валерий Владимирович","DPR","deputy (in DPR administration)","Regional","Donetsk","2014","","Yes","Born in Shymkent, Kazakh SSR"
"OFC-155","Yelena Nikitina","Никитина Елена Николаевна","DPR","adviser to Denis Pushilin","Regional","Donetsk","2024","","Yes","Donetsk region"
"OFC-156","Yuriy Martynov","Юрий Мартынов","DPR","Minister of sport and tourism of the DPR","Sector","Donetsk","2014","2025","No","Donetsk region"
"OFC-157","Yevgeniy Shirshov","Евгений Ширшов","DPR","acting minister of sport and tourism of the DPR","Sector","Donetsk","2025","","Yes",""
"OFC-158","Dmitry Shevchenko","Дмитрий Шевченко","DPR","head of Yasinovatsky district","District","Yasinovatsky district","2019","","Unknown","Donetsk region"
"OFC-159","Ivan Prikhodko","Иван Приходько","DPR","""head of Horlivka administration""","City","Horlivka","2016","","Yes","Donetsk region"
"OFC-160","Oleh Koval","Олег Валерьевич Коваль","LNR","LNR deputy, MP","Regional","Luhansk","2018","","Yes",""
"OFC-161","Natalia Pashchenko","Пащенко Наталия Александровна","LNR","Minister of Health of the LNR","Sector","Luhansk","2018","","Yes","Luhansk region"
"OFC-162","Egor Kovalchuk","Егор Викторович Ковальчук","LNR","Prime Minister / Head of LNR government","Regional","Luhansk","2024","","Yes","From Chelyabinsk, Russia"
"OFC-163","Vladislav Varshavsky","Владислав Варшавский","LNR","Minister of Industry and Trade","Sector","Luhansk","2024","","Yes","From Krasnodar Krai"
"OFC-164","Viktor Volodatsky","Виктор Володацкий","LNR","Russian State Duma deputy promoting Cossack movement","Regional","Alchevsk","2007","","Yes","From Rostov Oblast, Russia"
"OFC-165","Aleksandr Malkevich","Александр Александрович Малькевич","LNR","Kremlin propagandist, Member of the Legislative Assembly of St Petersburg","Unknown","Lysychansk","2024","","Unknown","From St Petersburg, Russia"
"OFC-166","Eleonora Mikhailovna Fedorenko","Элеонора Михайловна Федоренко","DPR","Advisor to the Head of the DNR on Children's Rights, Children's Ombudsman of the DNR","Regional","Donetsk","2017","2025","No","Born in Vinnytsia Oblast, Ukraine"
"OFC-167","Oksana Plotnitskaya","Плотницкая Оксана Владимировна","DPR","Director of Amvrosievo boarding school No. 4","Sector","Amvrosievo","","","Unknown",""
"OFC-168","Anna Nikolaevna","Федоренко Анна Николаевна","DPR","Head of the Department of Education of the Administration of the Shakhtarsk Municipal District","District","Shakhtarsk","2024","","Yes",""
"OFC-169","Viktor","Виктор Гончаров","DPR","Chief doctor of the Republican Children's Home in Makiivka","Sector","Makiivka","2016 (at least)","","Unknown",""
"OFC-170","Igor Dubinin","Игорь Дубинин","DPR","Coach of the Yenakiieve children's and youth sports school","Sector","Yenakiieve","2024 (at least)","","Unknown",""
"OFC-171","Kirichenko Tatyana Sergeevna","Кириченко Татьяна Сергеевна","Crimea","методист отдела культурно-просветительной работы Государственного бюджетного учреждения Республики Крым «Дом дружбы народов»","Sector","Симферополь","","","Yes",""
"OFC-172","Pavel Ermolenko","Павлом Ермоленко","Crimea","заслуженный ремесленник Республики Крым","Sector","Simferopol","2023 (At least)","","Unknown",""
"OFC-173","Deynego Vladislav Nikolayevich","Владислав Николаевич Дейнего","LNR","Minister of Foreign Affairs of the Lugansk People's Republic","Regional","","2017","2022","No","Luhansk region"
"OFC-176","Diky Alexei Alexandrovich","Дикий Алексей Александрович","DPR","Minister of Internal Affairs","Regional","Donetsk","2015","","Yes","Donetsk region"
"OFC-177","Pavlenko Vladimir Nikolaevich","Павленко Владимир Николаевич","DPR","Minister of State Security","Regional","Donetsk","2018","","Yes",""
"OFC-178","Kostrubytsky Alexei Alexandrovich","Кострубицкий Алексей Александрович","DPR","Minister of Civil Defence and Emergency Situations","Regional","Donetsk","2014","2023","No","Born in Bryansk Oblast, Russia"
"OFC-179","Nikonorova Natalia Yuryevna","Никонорова Наталья Юрьевна","DPR","Senator of the Russian Federation — representative of the executive branch of the Donetsk People’s Republic","Regional","Donetsk","2022","","Yes","Donetsk region"
"OFC-180","Lavrenov Evgeny Evgenyevich","Лавренов Евгений Евгеньевич","DPR","Minister of Revenue and Collections","Regional","Donetsk","2018","2022","No","Born in Nikopol, Ukraine"
"OFC-181","Chausova Yana Sergeyevna","Чаусова Яна Сергеевна","DPR","Minister of Finance","Regional","Donetsk","2018","2024","No","Donetsk region"
"OFC-182","Polovyan Alexei Vladimirovich","Половян Алексей Владимирович","DPR","Minister of Economic Development","Regional","Donetsk","2018","2022","No","Donetsk region"
"OFC-183","Dubovsky Ruslan Mikhailovich","Дубовский Руслан Михайлович","DPR","Minister of Coal and Energy","Regional","Donetsk","2018","2022","No","Donetsk region"
"OFC-184","Naumets Sergei Sergeyevich","Наумец Сергей Сергеевич","DPR","Minister of Construction and Housing","Regional","Donetsk","2018","2021","No","Donetsk region"
"OFC-185","Tolstykina Larisa Valentinovna","Толстыкина Лариса Валентиновна","DPR","Deputy Prime Minister of the Donetsk People’s Republic","Regional","Donetsk","2022","","Yes","Donetsk region"
"OFC-186","Kramarenko Artyom Alexandrovich","Крамаренко Артём Александрович","DPR","Deputy Chairman of the Government of the Donetsk People’s Republic","Regional","Donetsk","2025","","Yes","Born in Tula Oblast, Russia"
"OFC-187","Kushakov Mikhail Nikolaevich","Кушаков Михаил Николаевич","DPR","Minister of Education and Science, later advisor to DPR head","Regional","Donetsk","2019","2024","No","Born in Moldova"
"OFC-188","Dolgoshapko Olga Nikolaevna","Долгошапко Ольга Николаевна","DPR","Minister of Health","Regional","Donetsk","2018","2020","No","Donetsk region"
"OFC-189","Sirovatko Yuri Nikolaevich","Сироватко Юрий Николаевич","DPR","Minister of Justice","Regional","Donetsk","2018","2023","No","Donetsk region"
