"Name","Type","Position","Territory","Jurisdiction","Date_Designated","DOB","Nationality","Reference_ID","Programme"
"National Association of Producers “Massandra” – State Concern","Entity","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","","","7670","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Petr Grigorievich JAROSH","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","16/03/1966, 30/01/1971","Russia, Ukraine","7622","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Russian National Commercial Bank","Entity","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","","","7671","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Sergei Andreevich DANILENKO","Individual","Former Chair of the Sevastopol Electoral Commission.
Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2020 [F2020L00083]; 
New listing start date 31 March 2023","Crimea","Australia (DFAT)","2023-03-31","1960-03-14","Russia","7528","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 4) Instrument 2023"
"Sergei Mikhailovich PINCHUK","Individual","Deputy Commander in Chief of the Black Sea Fleet","Crimea","Australia (DFAT)","2022-03-25","1971-07-26","","6804","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2022"
"Sergey Vadimovich ABISOV","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","1967-11-27","Russia, Ukraine","7607","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Sevastopol Commercial Seaport","Entity","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","","","7677","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Universal-Avia – State Enterprise","Entity","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","","","7673","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Valentina Vasilevna LAVRIK","Individual","So-called “Minister of Education, Science and Youth of the Republic of Crimea”","Crimea","Australia (DFAT)","2025-02-24","1969-02-25","Russia, Ukraine","8057","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2025"
"Vladimir Vladimirovich NEMTSEV","Individual","“Chairman” of the so-called “Legislative Assembly” of Sevastopol commencing 14 September 2019
Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2020 [F2020L00083]; 
New listing start date 31 March 2023","Crimea","Australia (DFAT)","2023-03-31","1971-11-15","Russia","7530","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 4) Instrument 2023"
"Yuriy Mikhailovich GOTSANYUK","Individual","Chairman of the Council of Ministers of the Republic of Crimea, and “Prime Minister” of the so-called “Republic of Crimea” commencing 1 October 2019.
Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2020 [F2020L00083]; 
New listing start date 31 March 2023","Crimea","Australia (DFAT)","2023-03-31","1966-07-18","Russia","7529","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 4) Instrument 2023"
"Yuriy Sergeyevich FEDIN","Individual","News Front Financier","Crimea","Australia (DFAT)","2022-03-08","1989-03-26","","6732","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 5) Instrument 2022"
"Crimean Republican Enterprise ‘Azov distillery plant’","Entity","","Crimea","EU","","","","EU.4039.77","UKR — 2020/1267 (OJ L298)"
"Mikhail Grigorievich MALYSHEV","Individual","Chair of the Crimea Electoral Commission.","Crimea","EU","2014-03-21","1955-10-10","","EU.2819.84","UKR — 2023/571 (OJ L75 I)"
"Oleg Yevgenyvich BELAVENTSEV","Individual","Former Plenipotentiary Representative of the President of the Russian Federation into the so-called ‘Crimean Federal District’. Former non-permanent member of the Russian Security Council. Former Plenipotentiary Representative of the President of the Russian Federation into the North Caucasus Federal District (until June 2018).  Honorary Consul of Nicaragua in Crimea since October 2020.","Crimea","EU","2014-04-29","1949-09-15","","EU.3654.43","UKR — 2021/446 (OJ L87)"
"Valery Vladimirovich KULIKOV","Individual","Former Deputy-Commander of the Black Sea Fleet, Rear Admiral. On 26 September 2017, with a Decree of the President of Russian Federation, he was dismissed from this post and from military service. Former member of the Federation Council of Russian Federation, representing the annexed City of Sevastopol. Currently serves as deputy in the “Legislative Assembly” of the City of Sevastopol.","Crimea","EU","2014-03-21","1956-09-01","","EU.3525.40","UKR — 2021/446 (OJ L87)"
"АКЦИОНЕРНОЕ ОБЩЕСТВО “ЧЕРНОМОРСКИЙ БАНК РАЗВИТИЯ И РЕКОНСТРУКЦИИ”","Entity","Joint Stock Company “Black Sea Development and Reconstruction Bank” (ChBRR) is a regional bank with a network of offices in all cities and district centres in Crimea. Among the services which ChBRR provides are business lending, cash and settlement services, consumer lending, term deposits, remote account management services, and currency transactions.","Crimea","EU","2025-02-24","","","EU.12741.45","UKR — 2025/389 (OJ L24022025)"
"Владимир Олегович КУРЬЯНОВ","Individual","Since 22 June 2023, Vladimir Kuryanov has been the acting Rector of the V.I. Vernadsky Crimean Federal University. He is supporting policies which contribute to the militarised education of Ukrainian children and young people and which undermine Ukrainian history and language.","Crimea","EU","","1960-01-23","","EU.13344.91","UKR — 2025/1476 (OJ L202501476)"
"ООО “МЕДИАГРУПП НЬЮСФРОНТ”","Entity","LLC Media Group NewsFront (NewsFront) is a Crimea-based outlet presenting distorted interpretations of history and manipulated information, in line with Kremlin messaging.","Crimea","EU","2025-02-24","","","EU.12720.11","UKR — 2025/389 (OJ L24022025)"
"Ольга Василівна БУРОВА","Individual","Olga Burova has been the so-called “First Deputy Minister of Culture of the Republic of Crimea” since 15 May 2023. In that role, she has promoted Crimea as a centre of Russian culture and as a part of Russian history, and supported its illegal annexation by Russia in 2014.","Crimea","EU","","1972-08-29","","EU.13340.95","UKR — 2025/1476 (OJ L202501476)"
"Сергій Олександрович КАРЯКIН","Individual","Senator of the Federation Council from the illegally annexed “Republic of\nCrimea”","Crimea","EU","2025-02-24","1990-01-12","","EU.12742.44","UKR — 2025/389 (OJ L24022025)"
"Юрій Петрович НIМЧЕНКО","Individual","Senator of the Federation Council from the illegally annexed “Republic of Crimea”","Crimea","EU","2025-02-24","1980-06-04","","EU.12738.69","UKR — 2025/389 (OJ L24022025)"
"PO More Shipyard","Entity","","Crimea","Japan (METI/MFA)","","","","50","Foreign Exchange and Foreign Trade Act"
"Crimea Patriot Centre","Entity","","Crimea","Switzerland (SECO)","2023-12-20","","","","Ordinance SR 946.231.176.72"
"Crimean Republican Enterprise ""Azov distillery plant""","Entity","","Crimea","Switzerland (SECO)","2014-08-04","","","","Ordinance SR 946.231.176.72"
"Federal State Unitary Enterprise “Crimea Railway”","Entity","","Crimea","Switzerland (SECO)","2020-10-14","","","","Ordinance SR 946.231.176.72"
"Federal state budget institution for science and research ""All-Russia national scientific research institute for wine growing and wine making “Magarach” Russian Academy of Sciences""","Entity","","Crimea","Switzerland (SECO)","2014-08-04","","","","Ordinance SR 946.231.176.72"
"First Crimean Insurance Company","Entity","","Crimea","Switzerland (SECO)","2020-10-14","","","","Ordinance SR 946.231.176.72"
"Joint-stock company ""Production-Agrarian Union ‘Massandra’""","Entity","","Crimea","Switzerland (SECO)","2014-08-04","","","","Ordinance SR 946.231.176.72"
"Joint-stock company “Sparkling wine plant ‘Novy Svet’”","Entity","","Crimea","Switzerland (SECO)","2014-08-04","","","","Ordinance SR 946.231.176.72"
"State Unitary Enterprise of the ""Republic of Crimea"" ""Chernomorneftegaz""","Entity","","Crimea","Switzerland (SECO)","2014-05-19","","","","Ordinance SR 946.231.176.72"
"State Unitary Enterprise of the ""Republic of Crimea"" ""Universal-Avia""","Entity","","Crimea","Switzerland (SECO)","2014-08-04","","","","Ordinance SR 946.231.176.72"
"State Unitary Enterprise of the City of Sevastopol, ""Sevastopol seaport""","Entity","","Crimea","Switzerland (SECO)","2014-08-04","","","","Ordinance SR 946.231.176.72"
"Subsidiary Sevastopol Naval Plant of Zvezdochka Shipyard (Sevastopol Naval Plant)","Entity","","Crimea","Switzerland (SECO)","2023-01-25","","","","Ordinance SR 946.231.176.72"
"“State Unitary Enterprise of the Crimean Republic ‘Crimean Sea Ports’”","Entity","","Crimea","Switzerland (SECO)","2017-09-25","","","","Ordinance SR 946.231.176.72"
"'Joint-Stock Company 'Sparkling Wine Plant Novy Svet'","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13062","Russia (Sanctions) (EU Exit) Regulations 2019"
"AO 'Institute Giprostroymost - Saint-Petersburg'","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13700","Russia (Sanctions) (EU Exit) Regulations 2019"
"Abisov, Sergey Vadimovich","Individual","Former Minister of the Interior of the Republic","Crimea","UK (OFSI)","31/12/2020","27/11/1967","Ukraine","13071","Russia (Sanctions) (EU Exit) Regulations 2019"
"Aksyonov, Sergey Valeryevich","Individual","Prime Minister","Crimea","UK (OFSI)","31/12/2020","26/11/1972","Ukraine","12922","Russia (Sanctions) (EU Exit) Regulations 2019"
"Almaz-Antey Air and Space Defense Corporation.","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13076","Russia (Sanctions) (EU Exit) Regulations 2019"
"Altabaeva, Yekaterina Borisovna","Individual","Member of the Federation Council","Crimea","UK (OFSI)","31/12/2020","27/05/1956","Russia","13808","Russia (Sanctions) (EU Exit) Regulations 2019"
"BULGAKOV, Dmitry Vitalyevich","Individual","Deputy Minister of Defence of the Russian Federation; Chief of the Russian Armed Forces Logistics Services","Crimea","UK (OFSI)","24/03/2022","20/10/1954","Russia","14992","Russia (Sanctions) (EU Exit) Regulations 2019"
"Babakov, Alexander Mikhailovich","Individual","Former Member of the State Duma of the Russian Federation","Crimea","UK (OFSI)","31/12/2020","08/02/1963","","13124","Russia (Sanctions) (EU Exit) Regulations 2019"
"Bakharev, Konstantin Mikhailovich","Individual","Member of the State Duma, elected from the illegally annexed Autonomous Republic of Crimea","Crimea","UK (OFSI)","31/12/2020","20/10/1972","Ukraine","13391","Russia (Sanctions) (EU Exit) Regulations 2019"
"Balbek, Ruslan Ismailovich","Individual","Member of the State Duma, elected from the illegally annexed Autonomous Republic of Crimea.","Crimea","UK (OFSI)","31/12/2020","28/08/1977","Russia","13390","Russia (Sanctions) (EU Exit) Regulations 2019"
"Bank Rossiya","Entity","","Crimea","UK (OFSI)","22/02/2022","","","14177","Russia (Sanctions) (EU Exit) Regulations 2019"
"Basova, Lidia Aleksandrovna","Individual","Vice-Chair Sevastopol City Electoral Commission","Crimea","UK (OFSI)","31/12/2020","dd/mm/1975","Russia","13806","Russia (Sanctions) (EU Exit) Regulations 2019"
"Belaventsev, Oleg Yevgenyvich","Individual","Former Plenipotentiary Representative of the President of the Russian Federation into the so-called 'Crimean Federal District' | Non- permanent member of the Russian Security Council","Crimea","UK (OFSI)","31/12/2020","15/09/1949","Russia","12951","Russia (Sanctions) (EU Exit) Regulations 2019"
"Belik, Dmitry Anatolievich","Individual","Member of the State Duma, elected from the illegally annexed city of Sevastopol|Member of the Duma Committee on Control and Regulation","Crimea","UK (OFSI)","31/12/2020","17/10/1969","","13392","Russia (Sanctions) (EU Exit) Regulations 2019"
"Berezovskiy, Denis Valentinovich","Individual","Deputy Commander of the Black Sea Fleet of the Russian Federation | Former Commander of the Ukrainian Navy","Crimea","UK (OFSI)","31/12/2020","15/07/1974","Ukraine","12925","Russia (Sanctions) (EU Exit) Regulations 2019"
"Bezruchenko, Natalia Ivanovna","Individual","Secretary of the Election Commission of the Crimea Electoral Commission","Crimea","UK (OFSI)","31/12/2020","22/08/1979","","13667","Russia (Sanctions) (EU Exit) Regulations 2019"
"Black Sea Bank for Development and Reconstruction","Entity","","Crimea","UK (OFSI)","22/02/2022","","","14178","Russia (Sanctions) (EU Exit) Regulations 2019"
"CHEMEZOV, Alexander Sergeevich","Individual","Family associate (son of Sergey Viktorovich CHEMEZOV)","Crimea","UK (OFSI)","15/03/2022","dd/mm/1985","","14737","Russia (Sanctions) (EU Exit) Regulations 2019"
"CHEMEZOV, Stanislav Sergeevich","Individual","Family associate (son of Sergey Viktorovitch CHEMEZOV)","Crimea","UK (OFSI)","15/03/2022","dd/mm/1973","Russia","14738","Russia (Sanctions) (EU Exit) Regulations 2019"
"Chaliy, Aleksei Mikhailovich","Individual","Acting 'Governor' of Sevastopol. (1 to 14 April 2014). | Chair of the Legislative Assembly of Sevastopol | Elected 'People's Mayor of Sevastopol' on 23 February 2014.","Crimea","UK (OFSI)","31/12/2020","13/06/1961","Russia","12926","Russia (Sanctions) (EU Exit) Regulations 2019"
"Chemezov, Sergey Viktorovich","Individual","Chair of the Rostec conglomerate","Crimea","UK (OFSI)","31/12/2020","20/08/1952","Russia","13115","Russia (Sanctions) (EU Exit) Regulations 2019"
"Cherezov, Andrey Vladimirovich","Individual","Former Deputy/Vice-Minister for Energy of the Russian Federation","Crimea","UK (OFSI)","31/12/2020","12/10/1967","Russia","13521","Russia (Sanctions) (EU Exit) Regulations 2019"
"Crimean Railway (Federal State United Enterprise)","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13930","Russia (Sanctions) (EU Exit) Regulations 2019"
"Crimean Republican Enterprise Azov Distillery Plant","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13059","Russia (Sanctions) (EU Exit) Regulations 2019"
"DYUMIN, Alexei Gennadyevich","Individual","Governor of Tula Oblast","Crimea","UK (OFSI)","23/02/2023","28/08/1972","","15790","Russia (Sanctions) (EU Exit) Regulations 2019"
"Danilenko, Sergei Andreevich","Individual","Former Head of the Sevastopol City Election Commission","Crimea","UK (OFSI)","31/12/2020","14/03/1960","Russia","13805","Russia (Sanctions) (EU Exit) Regulations 2019"
"Dobrolet","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13077","Russia (Sanctions) (EU Exit) Regulations 2019"
"Dvornikov, Aleksandr Vladimirovich","Individual","Commander of the Southern Military District of the Russian Armed Forces","Crimea","UK (OFSI)","31/12/2020","22/08/1961","Russia","13785","Russia (Sanctions) (EU Exit) Regulations 2019"
"FEDIN, Yuriy Sergeyevich","Individual","CEO of NewsFront","Crimea","UK (OFSI)","04/07/2022","26/03/1989","Russia","15442","Russia (Sanctions) (EU Exit) Regulations 2019"
"Federal State Budgetary Enterprise 'Sanatorium 'Nizhnyaya Oreanda'' of the Administration of the President of the Russian Federation","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13058","Russia (Sanctions) (EU Exit) Regulations 2019"
"First Crimean Insurance Company","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13931","Russia (Sanctions) (EU Exit) Regulations 2019"
"Galkin, Aleksandr Viktorovich","Individual","Aide to the Defence Minister","Crimea","UK (OFSI)","31/12/2020","22/03/1958","Russia","12932","Russia (Sanctions) (EU Exit) Regulations 2019"
"Ganov, Alexander Nikolaevich","Individual","CEO of the railway company JSC TC Grand Service Express.","Crimea","UK (OFSI)","31/12/2020","24/10/1974","Russia","13926","Russia (Sanctions) (EU Exit) Regulations 2019"
"Glazyev, Sergey Yurievich","Individual","Adviser to the President of the Russian Federation","Crimea","UK (OFSI)","31/12/2020","01/01/1961","Ukraine","12936","Russia (Sanctions) (EU Exit) Regulations 2019"
"Gotsanyuk, Yuriy","Individual","Chair, Council of Ministers, Crimea (Prime Minister)","Crimea","UK (OFSI)","31/12/2020","18/07/1966","Russia","13809","Russia (Sanctions) (EU Exit) Regulations 2019"
"Grabchak, Evgeniy Petrovich","Individual","Vice-Minister for Energy of the Russian Federation","Crimea","UK (OFSI)","31/12/2020","18/07/1981","Russia","13522","Russia (Sanctions) (EU Exit) Regulations 2019"
"Gromov, Alexey Alexeyevich","Individual","First Deputy Chief of Staff of the Presidential Administration of the Russian Federation","Crimea","UK (OFSI)","31/12/2020","31/05/1960","Russia","13068","Russia (Sanctions) (EU Exit) Regulations 2019"
"Guzeyeva, Inna Nikolayevna","Individual","Deputy Chair of the Crimea Electoral Commission","Crimea","UK (OFSI)","31/12/2020","20/05/1971","Ukraine","13666","Russia (Sanctions) (EU Exit) Regulations 2019"
"IGNATOVA, Anastasiya Mikhailovna","Individual","step-daughter of prominent Russian oligarch Sergey CHEMEZOV","Crimea","UK (OFSI)","15/03/2022","dd/mm/1988","Russian","14740","Russia (Sanctions) (EU Exit) Regulations 2019"
"IGNATOVA, Ekaterina Sergeevna","Individual","second wife of prominent Russian oligarch Sergey CHEMEZOV","Crimea","UK (OFSI)","15/03/2022","21/03/1968","Russian","14741","Russia (Sanctions) (EU Exit) Regulations 2019"
"IS Bank","Entity","","Crimea","UK (OFSI)","22/02/2022","","","14180","Russia (Sanctions) (EU Exit) Regulations 2019"
"JSC VAD","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13705","Russia (Sanctions) (EU Exit) Regulations 2019"
"JSC Zaliv Shipyard","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13702","Russia (Sanctions) (EU Exit) Regulations 2019"
"Jarosh, Petr Grigorievich","Individual","Former head of the Federal Migration Service office for Crimea","Crimea","UK (OFSI)","31/12/2020","30/01/1971","Ukraine","12968","Russia (Sanctions) (EU Exit) Regulations 2019"
"Joint Stock Company Genbank","Entity","","Crimea","UK (OFSI)","22/02/2022","","","14179","Russia (Sanctions) (EU Exit) Regulations 2019"
"Joint-stock company 'Lenpromtransproyekt'","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13928","Russia (Sanctions) (EU Exit) Regulations 2019"
"Joint-stock company 'Production Agrarian Union 'Massandra''","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13060","Russia (Sanctions) (EU Exit) Regulations 2019"
"Joint-stock company 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'","Entity","","Crimea","UK (OFSI)","31/12/2020","","","13929","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHUSNULLIN, Marat Shakirzyanovich","Individual","Deputy Prime Minister, Russia","Crimea","UK (OFSI)","15/03/2022","09/08/1966","Russia","14642","Russia (Sanctions) (EU Exit) Regulations 2019"
"KLISHIN, Mikhail Alekseevich","Individual","Member of the Board of Directors, JSC SOGAZ","Crimea","UK (OFSI)","13/05/2022","09/10/1954","Russia","15385","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOVALCHUK, Boris Yurievich","Individual","Family associate (son of Yuri KOVALCHUK)","Crimea","UK (OFSI)","15/03/2022","01/12/1977","Russia","14802","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOVALENKO, Vladimir Vladislavovich","Individual","Chief of Staff of Yunarmia in Sevastopol, Crimea","Crimea","UK (OFSI)","17/07/2023","04/02/1962","Russia","16015","Russia (Sanctions) (EU Exit) Regulations 2019"
"KRIVONOGIKH, Svetlana Alexandrovna","Individual","[No role published — OFSI ""involved person"" designation]","Crimea","UK (OFSI)","08/02/2023","10/03/1975","Russia","15726","Russia (Sanctions) (EU Exit) Regulations 2019"
