Official ID,Name (Latin),Name (Cyrillic),Territory,Role / Position,Level,Location,Year Start,Year End,Still in Post?,Origin,Career Before,Career After,Links to Other Officials,Links to Russian State Bodies,Business / Economic Connections,Military Connections,Notes on Role
OFC-013,Krierenko Alexander Valerievich,Криеренко Александр Валерьевич,LPR,"Member of the LPR People’s Council, member of the profile committee on legislative affairs",Regional,Luhansk,2019,,Yes,Luhansk region,,,,People’s Council of the LPR,,,"Explained the law on the 5-year term of representative bodies of municipalities. Stated, each such body will have 15 to 25 deputies."
OFC-014,Bogorodko Tatiana Alexandrovna,Богородько Татьяна Александровна,LPR,Managing Director of the State Unitary Enterprise ‘Luhanskgaz’,Regional,"Severodonetsk, Lysychansk, Rubizhne",2018 (at least),,Yes,Luhansk region,,,,,State Unitary Enterprise (ГУП) «Luhanskгаз».,,"Visited branches in Severodonetsk, Lysychansk and Rubizhne. Noted specialists continue repair and restoration work on damaged facilities under dangerous conditions. Workers receive timely salary payments and social support measures."
OFC-015,Kozlov Sergey Ivanovich,Козлов Сергей Иванович,LPR,Chairman of the LPR Government,Regional,Luhansk,2015,2024,No,"Krasnodar, Russia","From 1994 to 2005, he served in the Ministry of Emergency Situations, retiring as the head of the Krasnodon District Department with the rank of colonel.",,"Alexey Pesoshin, Asgat Safarov, Evgeny Varakin, Sergey Khoritiv.",The Government of the LPR,,,Participated in the signing ceremony for the cooperation agreement between Tatarstan and Rubizhne city at the House of Government in Lugansk.
OFC-016,Khortiv Sergey Ivanovich,Хортив Сергей Иванович,LPR,Acting Head of Rubizhne City Council,City,Rubizhne,2022,,Yes,"Born Molodohvardiysk, Luhansk Oblast","Held a variety of roles, such as Mayor and Head of the Rubizhne city council during 2016-2022.",,"Sergey Kozlov, Alexey Pesoshin, Asgat Safarov, Evgeny Varakin.",,,,"Participated in the signing of the cooperation agreement. The Rubizhne population is currently over 10,000 people. Main tasks include restoration of housing, social facilities and the daily life of citizens."
OFC-017,Pushilin Denis Vladimirovich,Пушилин Денис Владимирович,DPR,Head of the DPR administration (after being recognised by Russia),Regional,Donetsk,2022,,Yes,Donetsk region,,,Mikhail Sanakoev,,,,"Commented on high housing prices in Mariupol, stating they are caused by high demand. Issued decree appointing Mikhail Sanakoev as Acting Deputy Chairman. Awarded members of Народная Дружина (People's Militia). His posts about housing prices gained overwhelmingly negative reactions."
OFC-018,Sanakoev Mikhail Merabovich,Санакоев Михаил Мерабович,DPR,Acting Deputy Chairman of the Government of the DPR,Regional,Donetsk,2024,2025,No,"Ossetian origin, born in Khabarovsk",Former Director of the Department of Budget Policy in Economic Sectors at the Ministry of Finance of the Russian Federation.,,Denis Pushilin,,,,Appointed by decree on 29 February 2024. The appointment provoked negative reactions.
OFC-019,Paschenko Yana Valeryevna,Пащенко Яна Валерьевна,LPR,Mayor of Luhansk,City,Luhansk,2026,,Yes,Luhansk region,Acting mayor of Luhansk (2023-2026).,,,,,,On 3 March decided to open bicycle rental points in Luhansk as a populist step.
OFC-020,Kravchenko Elena,Кравченко Елена,LPR,Head of the Election Commission of the LPR,Regional,Luhansk,2018 (at least),,Yes,Luhansk region,Chair of the Public Council for Refugees from Ukraine in 2014.,,,,,,Posted video message about elections; commentators called the elections a circus.
OFC-021,Aksenov Sergei Valeryevich,Аксёнов Сергей Валерьевич,Crimea,Head of Crimea,Regional,Crimea,2014,,Yes,Moldova,,,Mikhail Razvozhayev,,,,Document suggests he dreams of political roles in Moscow and will flee the peninsula at the first sign of danger. Posted on 4 March that the Russian health minister had come to Crimea on a working visit.
OFC-022,Razvozhayev Mikhail Vladimirovich,Развожаев Михаил Владимирович,Crimea,Governor of Sevastopol,City,Sevastopol,2020,,Yes,"Krasnoyarsk, Russia",,,Sergei Aksyonov,,,,The document suggests he dreams of political roles in Moscow and will flee the peninsula and abandon the people at the first sign of danger.
OFC-025,Saldo Vladimir Vasilyevich,Сальдо Владимир Васильевич,Kherson Oblast,Head of the Kherson Oblast occupation administration,Regional,Kherson Oblast,2022,,Yes,"Mykolaiv Oblast, Ukraine",,,,,,,Announced that Kherson Oblast residents under occupation will be able to 'vote' for local infrastructure projects alongside the 'presidential elections'.
OFC-026,Bishop Luka (Volchkov Andrei Yevgenyevich),Епископ Лука (Волчков Андрей Евгеньевич),Zaporizhzhia Oblast,Head of the Berdyansk Diocese,Sector,Berdyansk,2023,2024,No,"Moscow region, Russia",,Bishop of Birobidzhan and Kuldur since 2024.,,,,,"On the occasion of Defender of the Fatherland Day, expressed congratulations, gratitude, and invoked God's blessings for the defenders and those willing to join the Russian Army."
OFC-027,Stotskiy Konstantin,Стоцкий Константин,LPR,Director of the enterprise,City,Lysychansk,2023,2025,No,,,,,,Municipal Unitary Enterprise ‘Vodokanal’ of the Lysychansk.,,Director of the Lysychansk Water Utility (LNR). He is overseeing the restoration of the town’s water supply with the support of the Republic of Tatarstan. He is responsible for replacing damaged pipes in the water mains.
OFC-028,Koval Oleg Valeryevich,Коваль Олег Валерьевич,LPR,Deputy Chair of the People's Council,Regional,Luhansk,2018,,Yes,Luhansk region,,,Sergey Kozlov.,United Russia party.,,,He took part in the ceremony to stamp the postage stamp ‘Regions of Russia. Luhansk People’s Republic’. Stated that United Russia party is carrying out capital repairs in 11 schools across Luhansk under the party project 'New School'.
OFC-031,Chelapko Darya,Челапко Дарья,LPR,Head of the Lysychansk branch of the LPR Multifunctional Centre (МФЦ ЛНР),City,Lysychansk,2023,,Yes,A resident of Lysychansk,,,Oleg Teslyuchenko.,LPR Multifunctional Centre (МФЦ ЛНР).,,,"Head of newly created MFC branch in Lysychansk (28th in the Republic). Described services available to residents, including SNILS, INN registration, maternity capital certificates, and criminal record checks. She stated that the MFC opened symbolically on the anniversary of liberation."
OFC-032,Teslyuchenko Oleg,Теслюченко Олег,LPR,First Deputy Director of the LPR Multifunctional Centre (МФЦ ЛНР).,Regional,Luhansk,,,Yes,,,,Daria Chelapko.,LPR Multifunctional Centre (МФЦ ЛНР).,,,"Commented on the opening of the Lysychansk MFC branch, stating the main task is providing accessible government services, initially 5 windows offering 10 services, planning to expand to 40 services within a month."
OFC-033,Golubovich Mikhail,Голубович Михаил,LPR,Minister of Youth Policy LPR,Regional,Luhansk,2025,,Yes,Luhansk region,Head of the Luhansk Regional Branch of the Young Guard of United Russia.,,,The Young Guard of United Russia (МГЕР).,,,"Organised commemorative events for the first anniversary of Lysychansk liberation, including a car rally and flashmob with 200 participants forming the words Homeland Russia (Родина Россия)."
OFC-034,Sakhnenko Eduard Valerievich,Сахненко Эдуард Валериевич,LPR,Acting Head of the Lysychansk City Council,City,Lysychansk,2023,,Yes,Luhansk region,"The former director of the Melnikov Mine, the largest in the region",,,,,,He held a scheduled meeting with the heads of local municipal enterprises and representatives of contractors to discuss preparations for the autumn and winter period. He congratulated the teachers on Teachers’ Day.
OFC-035,Velichko Yulia Sergeevna,Величко Юлия Сергеевна,LPR,Minister for Youth Policy of the Luhansk People’s Republic,Regional,Luhansk,2023,2025,No,Luhansk region,,,"Daria Lantratova, Anton Demidov.",,,,She took part in a youth round-table discussion in Luhansk.
OFC-037,Varakin Evgeny Anatolyevich,Варакин Евгений Анатольевич,LPR,"Deputy Prime Minister of the Republic of Tatarstan, responsible for the reconstruction of Lysychansk and Rubizhne in the LPR",Regional,"Lysychansk, Rubizhne",2022,2024,No,From Russia (Tatarstan Republic),,Head of the Verkhniy Uslon District since 2024.,Leonid Pasechnik.,Ministry of Transport of the Russian Federation,,,"He was awarded the Medal ‘For Merit’ (2nd class) for effectively fostering cooperation with local residents, coordinating the reconstruction of the settlements under his care, and providing humanitarian aid to the local population. He also received a letter of appreciation for his active cooperation with the Ministry of Transport of the Russian Federation."
OFC-038,Samoylov Alexey Nikolayevich,Самойлов Алексей Николаевич,LPR,Head of the Administration of the Head of the LPR,Regional,Luhansk,2022,,Yes,Luhansk region,,,Leonid Pasechnik.,,,,He has been appointed Head of the Administration of the Head of the LPR. The Administration of the Head of the LPR is responsible for supporting the Government’s activities and overseeing the implementation of the decisions it adopts.
OFC-042,Ablaev Emirali Seytibramovich,Аблаев Эмирали Сеитибрамович,Crimea,Mufti of the Republic of Crimea and Sevastopol,Sector,Crimea,1999,,Yes,"Crimean Tatar, born in Tashkent Region, Uzbekistan",,,,,,,"Quoted as saying that Crimean Tatars had waited 'many years' for the new Crimea cathedral mosque to be built, and now their 'dream' had come true."
OFC-043,Солнцев Евгений Александрович,Solntsev Evgeny Alexandrovich,DPR,Chairman of the Government,Regional,Donetsk,2023,2025,No,From Russia / Russian federal appointee,,Governor of the Orenburg Region since 2025.,,"Document references coordination with Russian Federation Government regarding federal budget subsidies and state program for restoration of DPR, LPR, Zaporizhzhia and Kherson oblasts",,,"Signed government resolution No. 38-7 dated 11.04.2024 amending social support measures for citizens whose housing was lost or damaged due to combat operations in DPR territory. The resolution adjusts financial mechanisms from inter-budget transfers to subsidies from the Russian federal budget, increases compensation rates (from 35000 to 45000 rubles per square meter for lost housing, from 7000 to 10000 rubles for damaged housing calculations), and modifies procedures for damage assessment commissions."
OFC-045,Shapurova Elena Alexandrovna,Шапурова Елена Александровна,Zaporizhzhia Oblast,Minister of Education and Science for the Zaporizhzhia Region,Regional,Melitopol,2022,,Unknown,"Born in Melitopol, father from Russia.",,,,Zaporizhzhia Regional Department of Education and Science (occupation administration).,,,"Issued Order No. 23 dated 27.10 (likely 2022) on information protection, prohibiting ministry employees from using Ukrainian mobile operator numbers for work purposes, including messenger apps registered to Ukrainian numbers. Order issued in the context of a martial law decree by the Russian President."
OFC-047,Rogov Vladimir Valeryevich,Рогов Владимир Валерьевич,Zaporizhzhia Oblast,Propagandist / occupation official,Regional,Zaporizhzhia,2022,,Yes,"Born in Zaporizhzhia, Ukraine",,,Yevgeny Balitsky (public opponent/critic).,,,,"The main public opponent of Balitsky in November. Criticises Balitsky on multiple levels, including political past, management style, and confrontation with the election commission. Claims to have collected citizens' appeals and positions himself as the bearer of a 'truthful' picture of regional problems."
OFC-049,Katiushchenko Halyna,Катющенко Галина,Zaporizhzhia Oblast,Chair of regional election commission,Regional,Zaporizhzhia,2022,,Yes,"From Vitebsk, Belarus",,,"Yevgeny Balitsky (attempted to remove her), Elena Sivenkova (closest ally), Ella Pamfilova (Russian Central Election Commission chair who intervened to reverse dismissal).",Protected by Russian Central Election Commission and occupation region's 'prosecutor's office'.,,,Balitsky attempted to remove her under guise of anti-corruption campaign. Intervention by Pamfilova and formal decision by occupation 'prosecutor's office' reversed the dismissal.
OFC-051,Stremousov Kirill Sergeyevich,Стремоусов Кирилл Сергеевич,Zaporizhzhia Oblast,"Blogger, collaborator",Unknown,,2022,2022,No,Born in Donetsk region,,Deceased,Yaroslav Stremousov (son).,,,,Deceased collaborator. Father of Yaroslav Stremousov who has joined criticism of Balitsky.
OFC-052,Stromousov Yaroslav Kirillovich,Стремоусов Ярослав Кириллович,Zaporizhzhia Oblast,Occupation figure involved in information space,Unknown,,2025 (At least),,Yes,Kherson,,,"Yevgeny Balitsky (critic), Vladimir Rogov (joined in information space criticism), Kirill Stremousov (father).",,,,Joined Vladimir Rogov in the information space to criticize Balitsky.
OFC-053,Pikalev Valery Ivanovich,Пикалёв Валерий Иванович,Zaporizhzhia Oblast,Head of the Federal Customs Service of the Russian Federation,Regional,Berdyansk,2024,,Yes,Russia,,,,Federal Customs Service of the Russian Federation.,,,Visited Berdyansk port in November. Inspected buildings intended to house the Zaporizhzhia customs post staff. Approved project for service housing complex (800+ m²) for customs officers. Indicates preparations for customs infrastructure integration into the Russian system.
OFC-054,Balitsky Evgeny Vitalyevich,Балицкий Евгений Витальевич,Zaporizhzhia Oblast,Head of the occupation administration (implied),Regional,Zaporizhzhia,2023,,Yes,Melitopol,,,Rogov Vladimir - mentioned as competing influence,,,,Document states his positions have weakened (позиції Баліцького ослаблені) in the context of internal conflict within the occupation vertical of power.
OFC-064,Miroshnik Rodion,Мирошник Родион,LPR,Special envoy of Russia / LPR collaborator,Regional,Severodonetsk,2023,,Yes,Luhansk region,,,,Special envoy of Russia.,,,Claimed over 230 bodies recovered from mass graves near Sievierodonetsk. Made statements about 'Ukrainian punishers' and called for 'just punishment of the Kyiv regime.'
OFC-065,Marochko Andrey Vitalyevich,Марочко Андрей Витальевич,LPR,Military expert (collaborator),Unknown,Luhansk,2014,,Yes,Donetsk region,,,,,,Described as 'military expert'.,Claimed 80% of civilian deaths in occupied Luhansk caused by 'Kyiv militants using foreign UAVs and NATO-manufactured artillery.' Alleged 'Ukrainian nationalists' deliberately target civilian buildings.
OFC-067,Shlopak Dmitry,Шлопак Дмитрий,LPR,Head of Russian initiative establishing 'spiritual-historical complex' in Ushakov's honour,Unknown,Lysychansk,,,Unknown,"Born in  Chisinau, Moldova. Lives in Russia.",,,,,,,Attended the unveiling of a bust of Admiral Ushakov in Lysychansk. Said the bust 'symbolises the continuation of spiritual life even under military conditions.'
OFC-068,Chernichuk Yuriy Alekseyevich,Черничук Юрий Алексеевич,Zaporizhzhia Oblast,Rosatom's ZNPP director,Sector,Enerhodar,2022,,No,From Russia (Rosatom),,,Sergey Kiriyenko.,Rosatom.,,,"Met with Kiriyenko regarding restoration of generation at all six reactors. Stated that the ZNPP reintegration process is proceeding according to plan, all personnel have undergone certification under Rosatom's Russian nuclear safety requirements. Emphasised procurement of pumping equipment for cooling all reactors."
OFC-071,Kostomarov Alexander Nikolayevich,Костомаров Александр Николаевич,Zaporizhzhia Oblast,Director of 'OOO DEKARGOLOGISTIK',Sector,Berdiansk,2025,,Yes,Russian citizen linked to St. Petersburg,"Founder/co-founder of 'OOO TL Trans', 'OOO TL Cargo', 'OOO TL Service' in St. Petersburg.",,,"Connected to Russia's Deputy Minister of Industry and Trade visit, the company won the national Russian industrial design competition, ensuring major contract awards and access to federal funding.","TIN 220409746879; 'OOO TL Trans', 'OOO TL Cargo', 'OOO TL Service' in St. Petersburg; 'OOO DEKARGOLOGISTIK' (also referred to as OOO DKL)",,Appointed director on 29 September 2025. The company won a competition for state-funded production despite never having developed such products. The document describes this as the first recorded instance of a hybrid corruption mechanism on occupied territories - appropriation of Berdiansk Harvesters' design transferred through corrupt channels. Part of emerging political realignments with St. Petersburg figures becoming more active.
OFC-072,Vasiltsov Andrey Anatolyevich,Васильцов Андрей Анатольевич,Zaporizhzhia Oblast,Director and owner of 'OOO Partner Union'.,Sector,Berdiansk,2025,,Yes,,,,Yevgeny Balitsky (close associate).,,"OOO Partner Union' (OGRN 1259000002557, INN 9002018916), registered 26 June 2025.",,"Conducted a corporate raid on Voinikov Group. Seized sunflower harvest, equipment, and processed flour 'for safekeeping'. Company registered at the Zaporizhzhia region, Melitopol district, Kyrylivka settlement. Expropriation took place shortly after Balitsky's Kremlin visit."
OFC-074,Koltsov Anton Viktorovich,Кольцов Антон Викторович,DPR,Head of the Mariupol City Administration,City,Mariupol,2025,,Yes,"Cherepovets, Russia",,,"Yulia Smirnova, Sergey Kirienko, Yuri Senin, Roman Trofimov.","Supervisor — Sergei Kirienko, First Deputy Chief of Staff of the Presidential Administration of the Russian Federation.",,Establishing relations with the Russian Federation’s GRU (a group led by State Duma deputy Sablin).,He oversaw the consolidation of the political hierarchy in the run-up to the Russian State Duma elections. He oversaw the replacement of the chair and secretary of the Mariupol City Council. He is implicated in corruption schemes in Mariupol.
OFC-076,Senin Yury Anatolyevich,Сенин Юрий Анатольевич,DPR,Chair of the Mariupol Council,City,Mariupol,2025,,Yes,"Donetsk, Donetsk Oblast","Education: Donetsk Law Institute of the Ministry of Internal Affairs of Ukraine (2005) — degree in law. He worked within the justice system, specifically in the state registration of property rights, and held senior management positions.",,Anton Koltsov.,The United Russia party.,,He took part in combat operations on the side of pro-Russian forces in 2022 and was wounded.,Born on 17 September 1979. He is standing for election as a member of parliament for the United Russia party in occupied Mariupol. Appointed by Koltsov.
OFC-077,Trofimov Roman Vasilyevich,Трофимов Роман Васильевич,DPR,Council Secretary; Deputy Chair of Mariupol City Council,City,Mariupol,2026,,Yes,,,,Anton Koltsov.,,,,Appointed by Koltsov to the post of secretary of the Mariupol Council.
OFC-080,Kuzmich Tatiana Alexandrovna,Кузьмич Татьяна Александровна,Kherson Oblast,Deputy Governor,Regional,Henichesk,2022,,Yes,Kherson,,,Vladimir Saldo.,,,,Supported organization of children's rehabilitation program in Sochi.
OFC-082,Lagoysky Artem Alekseyevich,Лагойский Артем Алексеевич,Kherson Oblast,Minister of Culture for the Kherson Region,Sector,Kherson,2024,,Yes,Kherson,,,,,,,"Announced First Children's Cultural Forum in the region will take place in summer 2026 with participation of children from Kherson, DPR, LPR, and Zaporizhzhia regions."
OFC-083,Zakharova Marina,Захарова Марина,Kherson Oblast,Head of the election commission of the Kherson region,Regional,Kherson,2023,,Yes,,,,,,,,"Reported that total number of voters registered in Kherson region was over 354,000 with participation rate of over 50%."
OFC-084,Barkhatnova Alla Viktorovna,Бархатнова Алла Викторовна,Kherson Oblast,Minister of Labor and Social Protection of the Kherson region,Sector,Henichesk,2023,2025,No,"Oryol Oblast, Russia",,,,,,,In April 2023 stated that the region's residents were exempt from paying for utilities.
OFC-085,Khlustov Alexander Vasilyevich,Хлюстов Александр Васильевич,Kherson Oblast,Deputy of the Kherson Regional Duma,Regional,Kherson Oblast,2023 (At least),,Yes,Volgograd,He is an economist and a former military officer.,,,The United Russia party.,,,Organised an excursion program to Askania-Nova Biosphere Reserve as part of the 'Vacation with United Russia' project for about 500 schoolchildren from nine districts.
OFC-086,Mashkoutsan Semen Alekseyevich,Машкауцан Семен Алексеевич,Kherson Oblast,Acting head of the Kherson region government,Regional,Henichesk,2025,,Yes,Born in Chelyabinsk educated in Moscow,,,"Vladimir Saldo, Sergei Cherevko.",Federal Service for Labor and Employment (Rospracy).,,,Participated in a working meeting discussing regional employment service efficiency and implementation of the 'Labour Market Management' federal project.
OFC-087,Cherevko Sergey Nikolaevich,Черевко Сергей Николаевич,Kherson Oblast,Deputy head of government; Member of the „Salvation Committee for Peace and Order” in Kherson,Regional,Henichesk,2022,,Yes,Kherson,,,Semen Mashkaucan.,Federal Service for Labor and Employment (Rospracy).,,,Participated in a working meeting on employment service efficiency.
OFC-088,Noskov Igor Ivanovich,Носков Игорь Иванович,Kherson Oblast,General director of Obvodokanal,Sector,Kherson Oblast,2024,,Yes,,,,,,State Unitary Enterprise of the Kherson Region 'Obvodokanal'.,,"Reported on the water supply situation, including that 50% of Lyubimovka residents have a stable water supply and 2,000-2,500 cubic meters of water delivered daily by water trucks."
OFC-089,Bishop Filaret (Gavrin Dmitry Viktorovich),Епископ Филарет (Гаврин Дмитрий Викторович),Kherson Oblast,Bishop of Skadovsk and Alyoshki,Sector,"Skadovsk, Alyoshki",2024,,Yes,"Tver Oblast, Russia",,,,,,,Donated 269 sets of textbooks on the basics of Orthodox culture to the Golopristansky and Alyoshki districts for the 4th-grade religious education module.
OFC-090,Makarov Kirill Borisovich,Макаров Кирилл Борисович,DPR,Deputy Chairman of the Government of the DPR.,Sector,Donetsk,2025,,Yes,Donetsk region,"""Youth minister"" of the DPR.",,Denis Pushilin.,,,,"Promoted message at Donbas Youth Forum that young people should 'stay in Donbas, build families, and revive the region'."
OFC-091,Dubovka Vladimir Nikolaevich,Дубовка Владимир Николаевич,DPR,Minister of Construction,Sector,Donetsk,2024,,Yes,"Born in Odesa, Ukraine",Deputy of the DPR council.,,Denis Pushilin.,,,,Admitted that using mine water or desalination is economically unfeasible; stated stopgap measures dominate instead of strategic solutions.
OFC-092,Purgin Andrey Yevgenyevich,Пургин Андрей Евгеньевич,DPR,Former DPR leader/founder,Regional,Donetsk,2014,2015,No,Local DPR founding figure,,No longer in power; now critic of current administration.,Denis Pushilin.,,,,Accused Pushilin of controlling six bottled water factories and profiting from water sales; stated Donetsk has lost 70% of its native population and has turned into a dump with no garbage collection and no water.
OFC-093,Zakharchenko Alexander Vladimirovich,Захарченко Александр Владимирович,DPR,Former DPR leader,Regional,Donetsk,2014,2018,No,Local DPR founding figure,,Deceased.,,,,,Cast as a founding father of the DPR; commemorated at Youth of Donbas Forum where participants lit candles in his memory; students planted roses at the school where he studied.
OFC-095,Svidovskov Leonard Vyacheslavovich,Свидовсков Леонард Вячеславович,LPR,Head of the LPR state media network,Sector,Luhansk,2018,,Yes,Luhansk region,,,,,,,"According to the document, the programme cultivates a shared identity grounded in hardship, unity, and loyalty to Moscow."
OFC-096,Pilavov Manolis Vasilyevich,Пилавов Манолис Васильевич,LPR,Former mayor of Luhansk,City,Luhansk,2014,2023,No,Local collaborationist elite,Openly supported the LPR militants as early as 2014.,Killed in an explosion on 3rd of July 2025.,Yana Pashchenko.,,,,Described as one of the most prominent figures among the local collaborationist elite. Long held positions within pro-Russian structures. Remained head of the occupation administration in Luhansk until 2024. His death likely reflects growing tensions within the occupation authorities.
OFC-097,Andreeva Elena,Андреева Елена,LPR,Head of the LPR's Department of Investment Policy,Regional,Luhansk,2024 (at least),,Yes,,,,,,"Announced Chinese investors plan to fund industrial development in the region, especially in mechanical engineering and metallurgy.",,Authorities are reportedly looking for land plots to build new factories for Chinese investment ventures.
OFC-098,Roslyakova Anna Nikolaevna,Рослякова Анна Николаевна,LPR,First Deputy Head of the Administration of the Head of the LPR,Regional,Luhansk,2025,,Yes,"Russian national, formerly a bureaucrat in the Ryazan region",Bureaucrat in the Ryazan region.,,,,,,"Will oversee 'domestic policy, religion, and interethnic relations.' Appointed in June 2025. Example of Kremlin actively replacing existing local elites with Russian appointees."
OFC-099,Drobinyak Philip Igorevich,Дробиняк Филипп Игоревич,LPR,Head of the 'My Business' programme,Sector,Luhansk,2023,,Yes,Luhansk region,,,,,Stated an Asian investor plans to allocate 4 billion rubles to build a new plant for metal structure production.,,Referenced investor from a 'friendly brotherly Asian country' planning industrial investment.
OFC-101,Malkevich Alexander Alexandrovich,Малькевич Александр Александрович,Zaporizhzhia Oblast,"Public curator of Russia's information policy in temporarily occupied territories, ideological curator synchronizing regional agenda with federal theses",Regional,Multiple,2022,,Yes,"From St Petersburg, Russia",Associated with launching and coordinating 'state' media in the TOT.,,,Listed under U.S. and other international sanctions.,,,"Promotes narratives about 'information warfare,' 'digital threats,' and the need to strengthen control over the media space. Operates a network through which methodological materials and explanations are distributed. Legitimizes censorship and expansion of security agencies' powers in the digital sphere. Wrote a fabricated book about 'Beauty of Lysychansk' promoting false story of teenage girl martyr. Plans to turn fictional 'Young Self-Defence' into modern version of Soviet-era 'Young Guard'. Story disputed even by pro-Russian Z-propagandists."
OFC-102,Yershov Sergey Yuryevich,Ершов Сергей Юрьевич,Zaporizhzhia Oblast,Head (warden) of FKU IK-1 UFSIN of Russia for Zaporizhzhia region,Sector,Melitopol,2025,,Yes,From Russia (Federal Penitentiary Service UFSIN),,,,FSIN RF (Federal Penitentiary Service).,,,"Listed in directories as head of IK-1, which detains convicted women. Profile records staffing changes and list of previous heads/signatories indicating frequent rotations."
