date,quarter,channel,region_group,hub_themes,topics,summary,media_type
2025-07-01,Q3-2025,РИА КАТЮША,Luhansk (LPR),Governance;Economics;Civilian Life;Front / SVO (non-Hub),reconstruction,Claims LNR leader prematurely declared full territory liberation despite Ukrainian forces holding settlements like Novoegorovka.,text post
2025-07-01,Q3-2025,Радио Sputnik,Luhansk (LPR),Civilian Life;Education and Militarisation;Front / SVO (non-Hub),,Radio host reports LNR fully liberated and says conditions deteriorating for Ukraine.,video/audio transcript
2025-07-01,Q3-2025,Радио Sputnik,Crimea/Sevastopol,,,Radio discussion comparing territories; speaker notes Sevastopol area smaller than another location.,video/audio transcript
2025-07-01,Q3-2025,Радио Sputnik,Donetsk (DPR),Civilian Life;Education and Militarisation,,Reports humanitarian assistance provided by military unit in Mariupol combat zone operations.,video/audio transcript
2025-07-01,Q3-2025,Радио Sputnik,Zaporizhzhia,Economics;Civilian Life,reconstruction,Claims military operations and frontline developments in Ukraine conflict.,video/audio transcript
2025-07-01,Q3-2025,Радио Sputnik,Kherson;Zaporizhzhia,,,Discusses marketplace availability and economic development in Zaporizhzhia and Kherson regions.,video/audio transcript
2025-07-01,Q3-2025,Радио Комсомольская Правда,Luhansk (LPR),,,Notes congratulations on LNR control while observing decreased strikes there and recent Donetsk attack.,video/audio transcript
2025-07-01,Q3-2025,Радио Комсомольская Правда,Donetsk (DPR),,,Caller from Mariupol asking opening question on radio programme.,video/audio transcript
2025-07-01,Q3-2025,Репортёр Руденко V,Zaporizhzhia,,,Claims Russian artillery struck Ukrainian drone command posts in Zaporizhzhia Oblast.,video/audio transcript
2025-07-01,Q3-2025,Репортёр Руденко V,Zaporizhzhia,Front / SVO (non-Hub),strikes on military targets,Reports Russian forces destroyed Ukrainian ammunition storage and defensive positions with drones in Zaporizhzhia oblast.,video/audio transcript
2025-07-01,Q3-2025,СВЕЖЕСТИ,Zaporizhzhia,,,Reports approximately 50 Geran drones attacked Ukrainian-controlled targets in multiple eastern Ukrainian regions overnight.,video/audio transcript
2025-07-01,Q3-2025,СИЛОВИКИ 🇷🇺,Donetsk (DPR),,,Reports claim Geran drones destroyed Ukrainian air defence position of 142nd motorised brigade near Rayske in Donetsk.,text post
2025-07-01,Q3-2025,Сегодня,Luhansk (LPR),,,Announces employment years in annexed territories now count towards pension contributions for Russian citizens.,video/audio transcript
2025-07-01,Q3-2025,Сегодня,Kherson,Economics,,Announces Russia introduces pension increases and includes service in Ukrainian territories in work record.,video/audio transcript
2025-07-01,Q3-2025,Скабеева,Crimea/Sevastopol,Governance,elections and referendum,"Alleges German political analyst Umland claims Narva, not Sevastopol, represents most Russian city outside Russia.",video/audio transcript
2025-07-01,Q3-2025,Сладков +,Zaporizhzhia,,,Describes assault on Shevchenko settlement at Donetsk-Zaporizhzhia-Dnipropetrovsk boundary.,video/audio transcript
2025-07-01,Q3-2025,Соловьёв LIVE,,Governance;Economics;Civilian Life;Accountability and Legal,reconstruction,"Official discusses lending expansion, property registration initiatives, tax growth, and integration legislation achievements.",video/audio transcript
2025-07-01,Q3-2025,Соловьёв LIVE,Luhansk (LPR),Governance;Identity Culture and Religion;Front / SVO (non-Hub),strikes on military targets,Claims LNR fully liberated; reports destruction of Ukrainian tank in Sumy region by drone.,video/audio transcript
2025-07-01,Q3-2025,Соловьёв LIVE,Donetsk (DPR),Civilian Life,,"Solovyev LIVE prepares to discuss regional events, including coverage from a Mariupol sports complex.",video/audio transcript
2025-07-01,Q3-2025,Соловьёв LIVE,Donetsk (DPR),,,Discusses early use of FPV drones by Russian forces during the assault on Mariupol.,video/audio transcript
2025-07-01,Q3-2025,Соловьёв LIVE,Zaporizhzhia,Governance;Economics;Civilian Life;Education and Militarisation;Coercion Resistance and Security;Accountability and Legal;Front / SVO (non-Hub),mobilisation and conscription;sabotage and partisans;strikes on civilians;strikes on military targets,Military commentary on UAV interceptions and front-line tactical situation across multiple directions; discusses casualty figures.,video/audio transcript
2025-07-01,Q3-2025,Соловьёв LIVE,Zaporizhzhia,Governance;Economics;Civilian Life;Education and Militarisation;Front / SVO (non-Hub),heating;strikes on military targets,Reports overnight drone attacks and morning air defence operations in Russia.,video/audio transcript
2025-07-01,Q3-2025,Соловьёв LIVE,Zaporizhzhia,,,Unknown content insufficient for summary.,video/audio transcript
2025-07-01,Q3-2025,Соловьёв LIVE,Zaporizhzhia,Governance;Economics;Civilian Life;Education and Militarisation,heating,Reports overnight drone attacks on southern Russia; claims Ukrainian missiles damaged civilian infrastructure.,video/audio transcript
2025-07-01,Q3-2025,Соловьёв LIVE,Luhansk (LPR),Governance;Economics;Civilian Life;Identity Culture and Religion;Education and Militarisation,heating;reconstruction;water,Reports Putin-approved programme for socio-economic development of annexed territories through 2030.,video/audio transcript
2025-07-01,Q3-2025,Соловьёв LIVE,Zaporizhzhia,,,Expresses gratitude and notes relocation to Zaporizhzhia oblast.,video/audio transcript
2025-07-01,Q3-2025,Соловьёв LIVE,Kherson,,,Brief transition remark in television programme moving to Kherson oblast topic.,video/audio transcript
2025-07-01,Q3-2025,Телеканал 360,Zaporizhzhia,Governance,checkpoints (blokposts),Questions Russian military failures and calls for accountability in combat operations.,video/audio transcript
2025-07-01,Q3-2025,Телеканал «Миллет»,Crimea/Sevastopol,,,Reports Muslim religious authority providing construction materials support to military forces on regular basis.,video/audio transcript
2025-07-01,Q3-2025,Херсонский Вестник,Kherson,Identity Culture and Religion,,Claims Russian reconnaissance identified Ukrainian nationalist positions and destroyed them in Kharkiv oblast archive footage.,text post
2025-07-01,Q3-2025,Херсонский Вестник,Kherson,Accountability and Legal,reconstruction,Claims corruption in Ukrainian military construction projects leads to mass losses; describes military with derogatory terms.,text post
2025-07-01,Q3-2025,Херсонский Вестник,Kherson,Front / SVO (non-Hub),strikes on military targets,Claims 1st Guards Tank Army destroyed Ukrainian L-119 howitzer with Lancet loitering munition in Kharkiv oblast.,text post
2025-07-01,Q3-2025,ЮГ LIVE💤,Luhansk (LPR),Governance;Economics;Civilian Life;Front / SVO (non-Hub),reconstruction;strikes on military targets,"Provides military situation report citing Ukrainian counterattacks, air strikes on Russian cities and territorial control disputes.",text post
2025-07-01,Q3-2025,Юлия Витязева,Kherson,Governance;Civilian Life;Accountability and Legal,evacuation;strikes on civilians,Alleges over half civilian casualties resulted from Ukrainian drone attacks; lists specific incidents.,text post
2025-07-01,Q3-2025,"🇷🇺⚡️Сводки ополчения Новороссии Z.O.V. (ДНР, ЛНР, Украина, Война)",Luhansk (LPR),,,Anonymous complaint alleges 7th motorized brigade unit operates poorly with soldiers disappearing.,video/audio transcript
2025-07-01,Q3-2025,"🇷🇺⚡️Сводки ополчения Новороссии Z.O.V. (ДНР, ЛНР, Украина, Война)",Zaporizhzhia,,electricity and power,Reports image of power substation destroyed by Russian drone strike in Zaporizhzhia region.,video/audio transcript
2025-07-02,Q3-2025,,Luhansk (LPR),,,Interview segment with military correspondent discussing air strikes in Donetsk and administrative complaints.,video/audio transcript
2025-07-02,Q3-2025,,Crimea/Sevastopol,Education and Militarisation;Coercion Resistance and Security;Information Space,,"Reports military correspondent discussing Orthodoxy, homeland and language as components of Russian identity.",video/audio transcript
2025-07-02,Q3-2025,,Crimea/Sevastopol,Civilian Life,,Reports free tennis training available year-round in Sevastopol; instructor provides classes five times weekly for all ages.,video/audio transcript
2025-07-02,Q3-2025,,Crimea/Sevastopol,Civilian Life,reconstruction,Reports road restrictions implemented near residential buildings on Stoletov Prospekt in Sevastopol.,video/audio transcript
2025-07-02,Q3-2025,,Crimea/Sevastopol,Economics;Coercion Resistance and Security,,"Reports prices of carrots, beets and chicken decreased in Sevastopol; government monitoring prices on essential goods.",video/audio transcript
2025-07-02,Q3-2025,,Crimea/Sevastopol,,,Reports inspection of vineyard resources in Crimea and Sevastopol to ensure quality control.,video/audio transcript
2025-07-02,Q3-2025,,Donetsk (DPR),,,Woman who left Mariupol describes return preference citing comfort and safety compared to Germany.,video/audio transcript
2025-07-02,Q3-2025,,Zaporizhzhia,,strikes on military targets,Claims Russian FPV drones destroyed Ukrainian mortar and personnel shelters in Zaporizhzhia oblast.,video/audio transcript
2025-07-02,Q3-2025,,Kherson,,strikes on military targets,Claims Russian drone and observation post personnel destroyed seven Ukrainian drones in Kherson oblast within 24 hours.,video/audio transcript
2025-07-02,Q3-2025,60 минут,Zaporizhzhia,,,Shows footage of landscape after Iskander missile strike near Hulai-Pole on Zaporizhzhia and Dnipropetrovsk oblast border.,video/audio transcript
2025-07-02,Q3-2025,Alex Parker Returns,Donetsk (DPR),,,"Post reports strike on ammunition storage in Kharcyzsk, DPR.",video/audio transcript
2025-07-02,Q3-2025,Colonelcassad,Kherson,Coercion Resistance and Security;Accountability and Legal,,Reports conviction of a Russian resident for treason involving intelligence transmission to Ukrainian services; sentenced to 14 years in strict regime colony.,video/audio transcript
2025-07-02,Q3-2025,Donrf,Donetsk (DPR),Education and Militarisation,,Post calls for arrest of those who record and release combat footage in Donetsk.,text post
2025-07-02,Q3-2025,FRONTовые Zаметки,Kherson,,strikes on military targets,Reports Msta-S self-propelled gun strike destroying Ukrainian targets.,text post
2025-07-02,Q3-2025,Media Малькевич 🇷🇺,Zaporizhzhia,Governance;Economics;Civilian Life;Identity Culture and Religion;Education and Militarisation;Coercion Resistance and Security;Information Space;Accountability and Legal,reconstruction;strikes on civilians,Reports assassination attempt on Maxim Zubarev in Melitopol in April 2023.,text post
2025-07-02,Q3-2025,UKR LEAKS,,Front / SVO (non-Hub),,"Notes over 70,000 Ukrainians reported missing; search hindered by Russian confirmation lack.",video/audio transcript
2025-07-02,Q3-2025,Verum Regnum|Наш Regnum,Donetsk (DPR),,,Powerful explosion reported in Khartsyzsk.,video/audio transcript
2025-07-02,Q3-2025,WarGonzo,Donetsk (DPR),Coercion Resistance and Security;Front / SVO (non-Hub),strikes on civilians;strikes on military targets,WarGonzo publishes special report on artillery operations of Russian Dykaya division near Chasiv Yar with timestamps and tactical commentary.,video/audio transcript
2025-07-02,Q3-2025,Блокнот Россия 18+,Crimea/Sevastopol,,,Announces Roots.Media event in Sevastopol for media and IT specialists aged 18-35; registration deadline 10 July.,text post
2025-07-02,Q3-2025,ВЯЧЕСЛАВ НИКОНОВ,Zaporizhzhia,Front / SVO (non-Hub),,"Detailed chronicle of Russian airstrikes across Ukraine 1-2 July 2025, targeting Donbas, Zaporizhzhia and numerous regions.",text post
2025-07-02,Q3-2025,Вести в 20:00,Kherson,,,Reports on destruction of Ukrainian reconnaissance groups in Kherson region.,video/audio transcript
2025-07-02,Q3-2025,Владимир Рогов,Zaporizhzhia,Education and Militarisation;Coercion Resistance and Security;Accountability and Legal,collaborator security,Claims Ukrainian forces shelled Energodar industrial zone near nuclear station.,video/audio transcript
2025-07-02,Q3-2025,Военкор l Z l Лисицын ZOV-TV,Zaporizhzhia,Economics;Coercion Resistance and Security;Accountability and Legal,collaborator security;strikes on civilians,Claims Ukrainian forces shelled Energodar industrial zone near nuclear station.,text post
2025-07-02,Q3-2025,Дмитрий Никотин,Donetsk (DPR),,,Post reports explosion in DNR region.,video/audio transcript
2025-07-02,Q3-2025,Донбасс Сегодня,Luhansk (LPR),,,Reiterates report of Ukrainian drone attacking a building supply store in Luhansk without detonating.,video/audio transcript
2025-07-02,Q3-2025,Донбасс Сейчас,Luhansk (LPR),,,Reports Ukrainian drone attacked a building supply store in Luhansk but failed to detonate.,video/audio transcript
2025-07-02,Q3-2025,Донбасс решает,Donetsk (DPR),,,Historical profile of Soviet film director Larisa Shepitko born in Donbas region.,text post
2025-07-02,Q3-2025,Донбасс решает,Luhansk (LPR),Governance;Civilian Life;Identity Culture and Religion,reconstruction,Announces Donetsk and Luhansk circuses joining Russian state circus company with infrastructure improvements.,video/audio transcript
2025-07-02,Q3-2025,Донбасс решает,Donetsk (DPR),Front / SVO (non-Hub),strikes on military targets,Claims Russian scouts located and destroyed Ukrainian Krab howitzer in Donetsk oblast.,text post
2025-07-02,Q3-2025,ИнформБюро,Zaporizhzhia,Governance;Coercion Resistance and Security;Accountability and Legal,,Claims FSB detained residents for transferring funds to Ukrainian armed forces.,video/audio transcript
2025-07-02,Q3-2025,ИнформБюро,Zaporizhzhia,Coercion Resistance and Security,,Reports FSB detained three Zaporizhzhia residents for transferring funds to Ukrainian military and intelligence.,video/audio transcript
2025-07-02,Q3-2025,Кирилл Фёдоров / Война История Оружие,Zaporizhzhia,Coercion Resistance and Security,collaborator security,Channel reports FSB detained three Zaporizhzhia residents for allegedly transferring funds to accounts used by Ukrainian special services.,video/audio transcript
2025-07-02,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,Civilian Life,,Reports that specialists note Crimea has significant export potential and bilateral cooperation planned.,video/audio transcript
2025-07-02,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,,,Notes infrastructure in Crimea is not yet fully developed.,video/audio transcript
2025-07-02,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,Civilian Life,,Reports environmental scientists conducting beach research in Sevastopol; follow-up planned for Kerch Peninsula.,video/audio transcript
2025-07-02,Q3-2025,МАРИУПОЛЬ 24,Donetsk (DPR),Civilian Life,mobilisation and conscription;reconstruction,DPR decides to begin front-line district restoration before summer end.,video/audio transcript
2025-07-02,Q3-2025,МАРИУПОЛЬ 24,Donetsk (DPR),Identity Culture and Religion,,Reports believers awaited arrival of the Iverskaya icon in Mariupol during religious procession.,video/audio transcript
2025-07-02,Q3-2025,Марочко Live,Luhansk (LPR),,,Claims Russian forces improved tactical positions north of Kuchansky direction and reports ongoing battles near Nadia in LNR.,text post
2025-07-02,Q3-2025,Мир Михаила Онуфриенко,Zaporizhzhia,Front / SVO (non-Hub),,Details lengthy chronology of reported explosions across multiple Ukrainian regions on 2 July 2025.,text post
2025-07-02,Q3-2025,Николай Стариков,Zaporizhzhia,Education and Militarisation,,Discusses youth education and military training programmes in annexed regions.,text post
2025-07-02,Q3-2025,Новый Век,Crimea/Sevastopol,Governance;Economics;Identity Culture and Religion,,Criticises major Russian businesses for not entering Crimea market after eleven years; cites absent retail chains and services.,text post
2025-07-02,Q3-2025,Образ будущего,Crimea/Sevastopol,Governance;Economics,,Claims Russian businesses refuse to properly operate in Crimea due to sanctions fears.,text post
2025-07-02,Q3-2025,Олег Царёв,Crimea/Sevastopol,Governance,,Crimean regional leader Sergey Aksyonov discusses issues related to migrants.,video/audio transcript
2025-07-02,Q3-2025,Оперативные сводки,Zaporizhzhia,Coercion Resistance and Security;Accountability and Legal,,Claims Ukrainian forces shelled Energodar industrial zone near nuclear station.,video/audio transcript
2025-07-02,Q3-2025,Операция Z: Военкоры Русской Весны,Zaporizhzhia,Coercion Resistance and Security;Accountability and Legal,collaborator security,Reports court sentenced Energodar resident to imprisonment for state treason.,video/audio transcript
2025-07-02,Q3-2025,Радио Sputnik,Zaporizhzhia,Governance;Economics;Civilian Life;Education and Militarisation;Coercion Resistance and Security;Accountability and Legal;Front / SVO (non-Hub),reconstruction,Reports military operations across multiple fronts; describes Russian tactical movements and claimed battlefield advances.,video/audio transcript
2025-07-02,Q3-2025,Радио Комсомольская Правда,,,,Military strategist discusses using ally forces to strengthen borders and create buffer zone in annexed territories.,video/audio transcript
2025-07-02,Q3-2025,Радио Комсомольская Правда,Crimea/Sevastopol,,,References person named Pavel from Crimea.,video/audio transcript
2025-07-02,Q3-2025,Русская Весна Z : спецоперация на Украине и Донбассе,Luhansk (LPR),Coercion Resistance and Security,,Claims Ukrainian intelligence publishes target list of journalists including coverage of DNR/LNR regions.,text post
2025-07-02,Q3-2025,СИГНАЛ,Zaporizhzhia,,,Brief reference to Melitopol.,video/audio transcript
2025-07-02,Q3-2025,СИЛОВИКИ 🇷🇺,Donetsk (DPR),,,"Reports claim Geran drones struck deployment positions of 36th mechanised brigade in Yablonivka, Donetsk.",text post
2025-07-02,Q3-2025,Сегодня,Crimea/Sevastopol,,,Reports Crimea summer camps popular with children from Moscow and nearby regions.,video/audio transcript
2025-07-02,Q3-2025,Соловьёв LIVE,Donetsk (DPR),Economics,,Commentary on weapons secondary importance; fundraising appeal for Kharkiv and Sumy zones.,video/audio transcript
2025-07-02,Q3-2025,Соловьёв LIVE,Zaporizhzhia,Economics;Coercion Resistance and Security;Accountability and Legal,collaborator security,Reports FSB detained three residents accused of transferring funds to Ukrainian forces.,video/audio transcript
2025-07-02,Q3-2025,ТалипоV 𝐎𝐧𝐥𝐢𝐧𝐞 🅉,Crimea/Sevastopol,,,Brief statements that Crimea remains calm and stable region.,text post
2025-07-02,Q3-2025,ТалипоV 𝐎𝐧𝐥𝐢𝐧𝐞 🅉,Crimea/Sevastopol,,strikes on military targets,Claims Russian Ministry of Defence destroyed four Ukrainian drones over Crimea.,text post
2025-07-02,Q3-2025,ТалипоV 𝐎𝐧𝐥𝐢𝐧𝐞 🅉,Kherson,Front / SVO (non-Hub),strikes on military targets,Claims drone strike destroyed Ukrainian communications systems on Kherson axis near Nadnipryanske.,video/audio transcript
2025-07-02,Q3-2025,Телеканал 360,Zaporizhzhia,Front / SVO (non-Hub),,Military commentary on settlement at three-oblast junction; describes expanding sanitary zone in Dnipropetrovsk and supporting operations on Pokrovsk direction.,video/audio transcript
2025-07-02,Q3-2025,Телеканал 360,Zaporizhzhia,,,Reports drone attack on workers at Zaporizhzhia nuclear power plant facilities.,video/audio transcript
2025-07-02,Q3-2025,Телеканал 360,Kherson,,,Brief reference to Kherson region.,video/audio transcript
2025-07-02,Q3-2025,Телеканал «6ТВ»,Donetsk (DPR),Governance;Civilian Life,reconstruction,Reports sports stadium reconstruction completed in Mariupol during regional development meeting.,video/audio transcript
2025-07-02,Q3-2025,Телеканал «6ТВ»,Donetsk (DPR),Civilian Life,,Reports youth day celebrations held in multiple Russian cities including Mariupol with performances.,video/audio transcript
2025-07-02,Q3-2025,Телеканал «6ТВ»,Donetsk (DPR),Civilian Life,,"Reports youth day celebrations held with performances by talented athletes, dancers and musicians.",video/audio transcript
